MLSNumber,ListPrice,ListingContractDate,County,YEAR,MONTH,MONTH_NAME
21666772,109000,2019-08-01,Johnson,2019,8,August
21672627,125000,2019-10-02,Johnson,2019,10,October
21653501,39900,2019-06-24,Johnson,2019,6,June
21666894,74900,2019-09-08,Johnson,2019,9,September
21659748,85000,2019-08-11,Johnson,2019,8,August
21645341,89250,2019-06-06,Johnson,2019,6,June
21671478,91000,2019-09-26,Johnson,2019,9,September
21685946,104900,2019-12-12,Johnson,2019,12,December
21650628,112000,2019-06-24,Johnson,2019,6,June
21645856,127000,2019-06-07,Johnson,2019,6,June
21679676,120000,2019-11-04,Johnson,2019,11,November
21661181,135000,2019-08-09,Johnson,2019,8,August
21647075,96500,2019-06-13,Johnson,2019,6,June
21659592,122500,2019-08-02,Johnson,2019,8,August
21666793,121900,2019-09-07,Johnson,2019,9,September
21661542,124900,2019-08-12,Johnson,2019,8,August
21653438,127500,2019-07-17,Johnson,2019,7,July
21655260,130000,2019-07-19,Johnson,2019,7,July
21679999,135000,2019-11-04,Johnson,2019,11,November
21658411,137500,2019-08-02,Johnson,2019,8,August
21678020,139000,2019-10-24,Johnson,2019,10,October
21661904,135000,2019-08-16,Johnson,2019,8,August
21666803,137000,2019-09-08,Johnson,2019,9,September
21661048,140000,2019-08-09,Johnson,2019,8,August
21650024,145000,2019-06-23,Johnson,2019,6,June
21665944,139900,2019-09-05,Johnson,2019,9,September
21670090,144900,2019-09-19,Johnson,2019,9,September
21659616,148500,2019-08-03,Johnson,2019,8,August
21666046,139000,2019-09-06,Johnson,2019,9,September
21644639,139900,2019-06-06,Johnson,2019,6,June
21641831,144900,2019-06-06,Johnson,2019,6,June
21667651,145000,2019-09-12,Johnson,2019,9,September
21679006,149900,2019-11-01,Johnson,2019,11,November
21662904,153000,2019-08-19,Johnson,2019,8,August
21685047,150000,2019-12-05,Johnson,2019,12,December
21668606,150000,2019-09-19,Johnson,2019,9,September
21655508,150000,2019-07-18,Johnson,2019,7,July
21655863,165000,2019-07-20,Johnson,2019,7,July
21663591,153000,2019-08-24,Johnson,2019,8,August
21659612,150000,2019-08-05,Johnson,2019,8,August
21652530,154000,2019-07-05,Johnson,2019,7,July
21659605,154900,2019-08-02,Johnson,2019,8,August
21667094,149900,2019-09-19,Johnson,2019,9,September
21644422,160000,2019-06-01,Johnson,2019,6,June
21662948,159900,2019-08-18,Johnson,2019,8,August
21662325,159990,2019-08-15,Johnson,2019,8,August
21682263,164900,2019-11-20,Johnson,2019,11,November
21676475,157500,2019-10-21,Johnson,2019,10,October
21648288,159000,2019-06-20,Johnson,2019,6,June
21680240,159900,2019-11-06,Johnson,2019,11,November
21664822,162000,2019-08-31,Johnson,2019,8,August
21664206,165900,2019-08-26,Johnson,2019,8,August
21662686,159995,2019-08-18,Johnson,2019,8,August
21653505,160000,2019-08-02,Johnson,2019,8,August
21647886,149900,2019-06-21,Johnson,2019,6,June
21655550,159500,2019-07-19,Johnson,2019,7,July
21668879,174900,2019-09-18,Johnson,2019,9,September
21662160,164900,2019-08-17,Johnson,2019,8,August
21678636,179000,2019-10-31,Johnson,2019,10,October
21660689,165000,2019-06-05,Johnson,2019,6,June
21651882,165000,2019-07-05,Johnson,2019,7,July
21651077,175900,2019-06-28,Johnson,2019,6,June
21678119,170000,2019-10-25,Johnson,2019,10,October
21664622,170000,2019-08-27,Johnson,2019,8,August
21678483,179900,2019-10-30,Johnson,2019,10,October
21676671,167500,2019-10-23,Johnson,2019,10,October
21654738,175000,2019-07-17,Johnson,2019,7,July
21658299,163900,2019-07-27,Johnson,2019,7,July
21674110,169900,2019-10-09,Johnson,2019,10,October
21655860,169900,2019-07-21,Johnson,2019,7,July
21672713,174900,2019-10-04,Johnson,2019,10,October
21652723,178000,2019-07-07,Johnson,2019,7,July
21670826,184900,2019-09-23,Johnson,2019,9,September
21679334,174900,2019-11-07,Johnson,2019,11,November
21658601,174900,2019-07-30,Johnson,2019,7,July
21675376,175000,2019-10-15,Johnson,2019,10,October
21670048,184900,2019-09-22,Johnson,2019,9,September
21653487,184900,2019-07-09,Johnson,2019,7,July
21649982,175000,2019-06-23,Johnson,2019,6,June
21646435,189900,2019-06-13,Johnson,2019,6,June
21664263,189900,2019-08-28,Johnson,2019,8,August
21664260,189000,2019-08-26,Johnson,2019,8,August
21683885,175000,2019-11-26,Johnson,2019,11,November
21664121,180000,2019-08-26,Johnson,2019,8,August
21645631,185000,2019-07-10,Johnson,2019,7,July
21679808,179900,2019-11-04,Johnson,2019,11,November
21668722,179900,2019-09-18,Johnson,2019,9,September
21680242,179900,2019-11-07,Johnson,2019,11,November
21679437,179900,2019-11-02,Johnson,2019,11,November
21674050,176900,2019-10-11,Johnson,2019,10,October
21668424,179900,2019-09-23,Johnson,2019,9,September
21666639,189900,2019-09-10,Johnson,2019,9,September
21657982,179900,2019-07-25,Johnson,2019,7,July
21652932,174900,2019-07-11,Johnson,2019,7,July
21650947,180000,2019-06-26,Johnson,2019,6,June
21647154,174900,2019-06-13,Johnson,2019,6,June
21680644,179900,2019-11-09,Johnson,2019,11,November
