MLSNumber,ListPrice,ListingContractDate,County,YEAR,MONTH,MONTH_NAME
21756438,269900,2020-12-08,Johnson,2020,12,December
21755936,279000,2020-12-04,Johnson,2020,12,December
21754691,279900,2020-11-23,Johnson,2020,11,November
21748734,294999,2020-10-26,Johnson,2020,10,October
21742126,299900,2020-09-25,Johnson,2020,9,September
21744297,304197,2020-10-06,Johnson,2020,10,October
21757204,309500,2020-12-17,Johnson,2020,12,December
21732047,311489,2020-08-14,Johnson,2020,8,August
21758395,320000,2020-12-28,Johnson,2020,12,December
21749502,345000,2020-10-27,Johnson,2020,10,October
21744889,353095,2020-10-09,Johnson,2020,10,October
21744411,353095,2020-10-07,Johnson,2020,10,October
21744881,353595,2020-10-09,Johnson,2020,10,October
21750786,356095,2020-11-06,Johnson,2020,11,November
21739182,434900,2020-09-16,Johnson,2020,9,September
21749440,519164,2020-10-28,Johnson,2020,10,October
21756903,574129,2020-12-10,Johnson,2020,12,December
21755383,583163,2020-11-30,Johnson,2020,11,November
21749974,150000,2020-11-01,Johnson,2020,11,November
21757923,159900,2020-12-17,Johnson,2020,12,December
21755544,219900,2020-12-05,Johnson,2020,12,December
21752446,249900,2020-11-19,Johnson,2020,11,November
21755976,295000,2020-12-04,Johnson,2020,12,December
21756216,304900,2020-12-06,Johnson,2020,12,December
21756587,339900,2020-12-08,Johnson,2020,12,December
21751114,549900,2020-11-06,Johnson,2020,11,November
21755374,121900,2020-11-29,Johnson,2020,11,November
21758082,126500,2020-12-21,Johnson,2020,12,December
21756513,126500,2020-12-08,Johnson,2020,12,December
21755280,135000,2020-11-30,Johnson,2020,11,November
21745852,135000,2020-10-16,Johnson,2020,10,October
21757358,145000,2020-12-15,Johnson,2020,12,December
21757314,145000,2020-12-15,Johnson,2020,12,December
21758010,174900,2020-12-22,Johnson,2020,12,December
21749066,179900,2020-11-03,Johnson,2020,11,November
21757873,199900,2020-12-19,Johnson,2020,12,December
21756008,199900,2020-12-04,Johnson,2020,12,December
21758232,200000,2020-12-28,Johnson,2020,12,December
21757390,269900,2020-12-18,Johnson,2020,12,December
21721999,374990,2020-07-01,Johnson,2020,7,July
21757538,450000,2020-12-13,Johnson,2020,12,December
21756507,159900,2020-12-09,Johnson,2020,12,December
21743361,169900,2020-09-30,Johnson,2020,9,September
21716781,169990,2020-06-08,Johnson,2020,6,June
21737667,179900,2020-09-08,Johnson,2020,9,September
21755170,200000,2020-11-27,Johnson,2020,11,November
21735177,205000,2020-08-26,Johnson,2020,8,August
21750031,234990,2020-11-01,Johnson,2020,11,November
21758303,242000,2020-12-26,Johnson,2020,12,December
21735185,251490,2020-08-26,Johnson,2020,8,August
