"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21752970","Active","SFD","9235 Hawley Dr","4904","$288,535","3","2","1","LawrnceTP","RESIDENCES AT LAWRENCE VILLAGE","0","2LEVL","ATTACH","2","1,797","No","1,797","67","FRMN01"
"1","21754566","Active","SFD","9304 Hawkins Rd","4904","$294,923","3","2","1","LawrnceTP","RESIDENCES AT LAWRENCE VILLAGE","0","2LEVL","ATTACH","2","1,797","No","1,797","61","FRMN01"
"1","21751232","Active","SFD","7433 Avalon Trail Rd","4904","$299,999","5","2","1","LawrnceTP","AVALON TRAILS","1","2LEVL","ATTACH","2","2,592","Yes","3,888","71","SSRI01"
"1","21752952","Active","SFD","9231 Hawley Dr","4904","$301,731","3","2","1","LawrnceTP","RESIDENCES AT LAWRENCE VILLAGE","0","2LEVL","ATTACH","2","1,979","No","1,979","67","FRMN01"
"1","21758683","Active","SFD","6265 Breamore Rd","4904","$375,000","4","2","1","LawrnceTP","DEVONSHIRE","2","1LEVL","ATTACH","2","2,302","Yes","3,453","24","ELRG01"
"1","21754469","Active","SFD","12125 Kingfisher Cir","4904","$449,000","4","3","1","LawrnceTP","ADMIRALS POINTE","1","2LEVL","ATTACH","2","3,289","Yes","4,533","41","ECOR01"
"1","21756631","Active","SFD","8705 Sturgen Bay Ln","4904","$525,000","4","4","1","LawrnceTP","ADMIRALS SOUND","3","2LEVL","ATTACH","3","3,526","Yes","5,631","44","TUCK03"
"1","21754327","Active","SFD","6674 Cherbourg Cir","4904","$550,000","5","3","1","LawrnceTP","LAKE CHARLEVOIX","1","3LEVL","ATTACH","3","2,688","Yes","3,864","50","GOGR01"
"1","21756961","Active","SFD","6234 Landborough North Dr","4904","$574,900","5","4","0","LawrnceTP","AVALON HILLS","1","2LEVL","ATTACH","3","3,516","Yes","4,664","44","BHHS01"
"1","21755031","Active","SFD","9319 SANDBURY Rd","4904","$749,900","4","4","1","LawrnceTP","THE SANCTUARY","2","4LEVL","ATTACH","3","4,289","Yes","6,230","57","KWIN05"
"1","21756515","Active","SFD","3251 N Campbell Ave","4905","$685","2","1","0","WarrenTwp","ARLINGTON WOODS","0","1LEVL","NONE","","856","No","856","47","CAPC01"
"1","21758913","Active","CND","3672 N NEWGATE Ln","4905","$775","2","1","0","Ips","TUDOR PARK","0","1LEVL","ATTACH","1","1,048","No","1,048","24","RWHA01"
"1","21758309","Active","SFD","8426 E 36TH Pl","4905","$975","3","1","1","Ips","NORTH EASTWOOD","0","1LEVL","ATTACH","1","1,421","No","1,421","32","WILM01"
"1","21756708","Active","SFD","5337 E 21st St","4905","$1,050","3","1","0","Ips","RITTER PARK","0","1LEVL","DETATCH","1","903","Yes","1,623","44","TREP01"
"1","21754927","Active","SFD","3291 N Whittier Pl","4905","$26,750","3","1","0","Ips","ARLINGTON WOODS","0","1LEVL","NONE","","1,008","No","1,008","61","RNIN01"
"1","21750987","Active","SFD","6029 E 24TH St","4905","$62,900","3","1","0","Ips","WINDSOR VILLAGE","0","1LEVL","ATTACH","","1,166","No","1,166","78","KWIN05"
"1","21751153","Active","SFD","431 S Franklin Rd","4905","$79,900","3","1","0","WarrenTwp","NO SUBDIVISION","0","1LEVL","NONE","","720","No","720","76","CARP03"
"1","21752172","Active","SFD","74 S Kitley Ave","4905","$84,900","2","1","0","WarrenTwp","CLIFFORD MORROWS EAST IRVINGTON ADD","0","1LEVL","DETATCH","1","1,001","Yes","1,752","72","REDS01"
"1","21757893","Active","SFD","3447 N Leland Ave","4905","$99,000","2","1","0","WarrenTwp","EASTMORELAND PLACE","0","1LEVL","NONE","","888","No","888","37","STCR01"
"1","21751485","Active","CND","1937 N Bridgton Ct","4905","$99,900","3","2","1","WarrenTwp","CHATHAM WALK","0","2LEVL","DETATCH","2","1,656","Yes","2,424","69","KWIN05"
"1","21752587","Active","SFD","3511 N Richardt Ave","4905","$105,000","3","1","1","Ips","GLICKS FRANKLIN RD ADD","0","1LEVL","ATTACH","1","1,840","No","1,840","67","TRBL01"
"1","21750835","Active","SFD","447 S Audubon Rd","4905","$112,500","4","2","0","Ips","MYERS SUB","0","1LEVL","NONE","","1,422","No","1,422","80","CARP06"
"1","21752662","Active","SFD","7806 SOUTER Dr","4905","$125,000","3","1","0","Ips","EASTWOOD","1","1LEVL","ATTACH","1","1,140","No","1,140","69","FVST01"
"1","21754997","Active","SFD","2010 Caribbean Dr","4905","$129,900","3","2","1","WarrenTwp","HOLIDAY MANOR","0","1LEVL","ATTACH","2","1,829","No","1,829","61","EZST01"
"1","21757374","Active","SFD","255 S Arlington Ave","4905","$150,000","3","1","0","Ips","SHELTONS SUB","0","1LEVL","DETATCH","1","1,000","No","1,000","39","CESC04"
"1","21752684","Active","SFD","7305 E 13TH St","4905","$165,000","3","2","1","WarrenTwp","IRVING RIDGE","1","1LEVL","ATTACH","2","1,564","Yes","2,509","33","TUCK03"
