GENDER,AGEGRP,DATE,COVID_COUNT,COUNTY_NAME,YEAR,MONTH,DAY,MONTH_NAME
F,0-19,2020-10-29 00:00:00,5,Boone,2020,10,29,October
F,0-19,2020-10-30 00:00:00,5,Boone,2020,10,30,October
F,0-19,2020-11-01 00:00:00,3,Boone,2020,11,1,November
F,0-19,2020-11-03 00:00:00,3,Boone,2020,11,3,November
F,0-19,2020-11-04 00:00:00,5,Boone,2020,11,4,November
F,0-19,2020-11-05 00:00:00,5,Boone,2020,11,5,November
F,0-19,2020-11-06 00:00:00,3,Boone,2020,11,6,November
F,0-19,2020-11-07 00:00:00,5,Boone,2020,11,7,November
F,0-19,2020-11-08 00:00:00,1,Boone,2020,11,8,November
F,0-19,2020-11-09 00:00:00,4,Boone,2020,11,9,November
F,0-19,2020-11-10 00:00:00,5,Boone,2020,11,10,November
F,0-19,2020-11-11 00:00:00,5,Boone,2020,11,11,November
F,0-19,2020-11-12 00:00:00,7,Boone,2020,11,12,November
F,0-19,2020-11-13 00:00:00,5,Boone,2020,11,13,November
F,0-19,2020-11-14 00:00:00,5,Boone,2020,11,14,November
F,0-19,2020-11-15 00:00:00,4,Boone,2020,11,15,November
F,0-19,2020-11-16 00:00:00,2,Boone,2020,11,16,November
F,0-19,2020-11-17 00:00:00,3,Boone,2020,11,17,November
F,0-19,2020-11-18 00:00:00,8,Boone,2020,11,18,November
F,0-19,2020-11-19 00:00:00,4,Boone,2020,11,19,November
F,0-19,2020-11-20 00:00:00,7,Boone,2020,11,20,November
F,0-19,2020-11-21 00:00:00,4,Boone,2020,11,21,November
F,0-19,2020-11-22 00:00:00,2,Boone,2020,11,22,November
F,0-19,2020-11-23 00:00:00,4,Boone,2020,11,23,November
F,0-19,2020-11-24 00:00:00,4,Boone,2020,11,24,November
F,0-19,2020-11-25 00:00:00,2,Boone,2020,11,25,November
F,0-19,2020-11-26 00:00:00,6,Boone,2020,11,26,November
F,0-19,2020-11-27 00:00:00,1,Boone,2020,11,27,November
F,0-19,2020-11-28 00:00:00,5,Boone,2020,11,28,November
F,0-19,2020-11-29 00:00:00,3,Boone,2020,11,29,November
F,0-19,2020-11-30 00:00:00,1,Boone,2020,11,30,November
F,0-19,2020-12-01 00:00:00,3,Boone,2020,12,1,December
F,0-19,2020-12-02 00:00:00,3,Boone,2020,12,2,December
F,0-19,2020-12-03 00:00:00,5,Boone,2020,12,3,December
F,0-19,2020-12-04 00:00:00,1,Boone,2020,12,4,December
F,0-19,2020-12-05 00:00:00,5,Boone,2020,12,5,December
F,0-19,2020-12-06 00:00:00,6,Boone,2020,12,6,December
