MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21684763,,Residential,Single Fam,,Wilshire,Bradley Litz,,320000,320000,2019-12-06,,,
21680948,,Residential,Single Fam,,Eugene,Bruce Baird,,10000,9000,2019-11-12,,,
21680971,,Residential,Single Fam,,Arsenal,Bruce Baird,,8500,7750,2019-11-12,,,
21685696,,Residential,Single Fam,,College,Charlene Gaard,,445000,350000,2019-12-13,,,
21683864,,Residential,Single Fam,,PARK,Joe Everhart,Quinn Demaree,1900000,1750000,2019-11-25,,,
21685744,,Residential,Single Fam,,DELAWARE,Marty Wagner,,239900,274900,2019-12-09,,,
21680672,,Residential,Single Fam,,Exeter,Charlene Gaard,,65000,65000,2019-12-12,,,
21658010,,Residential,Single Fam,,Church,Joshua Vida,,170000,155000,2019-07-25,,F.C. Tucker Company,Rhonda Schwartz
21675325,,Residential,Condo,,Commons,Erica Edwards,,54900,54900,2019-10-18,2020-04-18,CENTURY 21 Scheetz,Erica Edwards
21672203,,Residential,Condo,,BRADDOCK,Kyle A. Williams,,64900,64900,2019-10-01,2020-04-01,AKO Brokerage & Property Mgmt,Kristina Akopdzhanova
21681155,,Residential,Condo,,HEWLET,Julie Downey,Katherine E. Griffin,71500,71500,2019-11-26,2020-03-15,"Carpenter, REALTORS®",Perla Palma Nunez
21672628,,Residential,Condo,,BRADDOCK,Katie Pierson-Colden,Damian Colden,74500,74500,2019-10-02,2020-04-02,F.C. Tucker Company,Jennifer S. Anderson
21663615,,Residential,Condo,,London,Cody Studebaker,,70000,70000,2019-08-26,2020-02-26,Keller Williams Indy Metro NE,Pat Haddad
21672638,,Residential,Condo,,Village Parkway,Autumn Sojka,,75000,75000,2019-10-02,2020-03-28,Heroes Property Group,Autumn Sojka
21674022,,Residential,Condo,,Village Parkway,David Barker,,82900,83000,2019-10-07,2020-04-04,"eXp Realty, LLC",Cassidy R. Ryan
21668741,,Residential,Condo,,Village Parkway,Phyllis Gillingham,,80000,80000,2019-09-18,2020-03-28,Own It Realty LLC,Angela K. Sherrill
21667272,,Residential,Condo,,Village Parkway,Shelly Walters,Jeffery J. Mathey,85000,82000,2019-09-12,2020-03-31,F.C. Tucker Company,Shelly Walters
21680596,,Residential,Single Fam,,Drayton,Rebecca Braganza,,85000,85000,2019-11-10,2020-05-09,United Real Estate Indpls,Amged Guirguis
21671366,,Residential,Single Fam,,Price,LaToya D. Dix,,77000,77000,2019-10-24,2020-04-24,Perez Realty Group LLC,Fabricio Perez
21658083,,Residential,Condo,,EAGLE COVE EAST,LaTasha Stevenson,,95000,90000,2019-07-25,2020-01-25,F.C. Tucker Company,Shawna Hargrave
21678239,,Residential,Single Fam,,Clarkson,Jennifer Shackelford-Harris,,90000,90000,2019-10-24,2019-12-31,DW Real Estate Group,Dorether Wallace
21674216,,Residential,Condo,,47th,Randy D Worrell,Caroline Coffey,89900,89900,2019-10-11,2020-02-18,"Real Estate Synergy, LLC",Courtney M. Cross
21665715,,Residential,Single Fam,,VINEWOOD,Sue Percifield,,102900,98000,2019-09-03,2020-03-31,JRB Management Group Inc,Jessica Bischoff
21666308,,Residential,Condo,,Kelvington,Deena Cooper,,99900,99900,2019-09-06,2020-03-06,RE/MAX Legends Group,David Whitfield
21679052,,Residential,Condo,,KIMMERIDGE,Doreen S. Harris,,99000,99000,2019-10-29,2019-12-31,RE/MAX Legends Group,Doreen S. Harris
