MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21651920,,Residential,Single Fam,,Walnut,Keith Dedrick,,3300000,489000,2019-07-02,,,
21610309,,Residential,Single Fam,,Monroe,Jeffery Ratliff,,79900,69900,2018-12-07,2019-06-30,RE/MAX Legends Group,James R. Wilson
21651553,,Residential,Single Fam,,ILLINOIS,Dawn Justus,,79800,79800,2019-07-02,2019-12-31,"Ratliff Realtors, Co.",Jeffery L. Ratliff
21667899,,Residential,Single Fam,,Staat,Jeremy Breedlove,,75000,75000,2019-09-13,2020-02-13,Berkshire Hathaway Home,Jijo Joseph
21648346,,Residential,Single Fam,,Ricks,Mark Dudley,,109900,109900,2019-06-18,2019-11-23,RE/MAX Realty Group,Mark Dudley
21664528,,Residential,Single Fam,,125,Jeffery L. Ratliff,,105000,97000,2019-08-30,2020-04-01,F.C. Tucker Company,Justin R. Perrey
21642849,,Residential,Single Fam,,Illinois,Kathy Hall,,94900,94900,2019-05-24,2019-09-24,RE/MAX Ability Plus,Michelle Tackett
21639074,,Residential,Single Fam,,Oak,Eric Linder,,90000,90000,2019-05-07,2019-09-27,"eXp Realty, LLC",Marcia Souers
21647934,,Residential,Single Fam,,McCarty,Mary E. Maldonado,,100000,100000,2019-06-15,2019-12-15,United Real Estate Indpls,Mary E. Maldonado
21644334,,Residential,Single Fam,,1050,Patrick Tumbarello,Gene Tumbarello,139900,114900,2019-06-01,2019-12-01,"J S Ruiz Realty, Inc.",Jennifer S. Ruiz
21667881,,Residential,Single Fam,,LELAND,Jeremy Breedlove,,105000,105000,2019-09-13,2020-02-13,F.C. Tucker Company,Derek Hack
21645695,,Residential,Single Fam,,Alden,Barbara Whiteside,,114900,114900,2019-06-13,2019-12-13,"Carpenter, REALTORS®",Nicole Dyar
21679268,,Residential,Single Fam,,Leland,Jeffery L. Ratliff,,122500,122500,2019-11-12,2020-04-20,Berkshire Hathaway Home,Teresa M Ott
21645503,,Residential,Single Fam,,Merrill,Holly Nigh,,120000,120000,2019-06-06,2019-12-06,The Real Estate Group,Mallorie E. Wilson
21664559,,Residential,Single Fam,,Holiday,Joseph Kabat,,128900,128900,2019-09-03,2020-03-02,F.C. Tucker Company,James D. Anthony
