"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21674497","Active","CND","4000 N Meridian St Unit#7EF","4903","$418,900","2","2","0","Ips","TARKINGTON TOWER","1","1LEVL","ATTACH","2","2,080","No","2,080","315","MSWS01"
"1","21666677","Active","SFD","6047 S Emerson Ave","4906","$579,000","3","1","0","FranklnTP","NO SUBDIVISION","0","1LEVL","DETATCH","2","1,603","No","1,603","506","TOM 01"
"1","21674967","Active","SFD","6422 Canna Ct","4907","$545,000","6","3","2","PerryTwp","DAHLIA GARDENS","2","1LEVL","DETATCH","4+","3,282","Yes","5,574","461","HMEX01"
"1","21680948","Active","SFD","1111 Eugene St","4911","$9,000","0","0","0","Ips","BRADEN ET AL NORTH INDPLS ADD","0","2LEVL","NONE","","1,730","Yes","2,162","398","RNIN01"
"1","21673713","Active","SFD","922 Eugene St","4911","$11,000","0","0","0","Ips","NO SUBDIVISION","0","2LEVL","DETATCH,NONE","","1,368","Yes","1,920","421","RNIN01"
"1","21673707","Active","SFD","737 W 32nd St","4911","$11,000","0","0","0","Ips","NO SUBDIVISION","0","1LEVL","DETATCH","2","1,020","Yes","2,040","475","RNIN01"
"1","21673700","Active","SFD","1150 W 33rd St","4911","$11,000","0","0","0","Ips","ARMSTONG PARK","0","2LEVL","NONE","","2,112","Yes","2,583","475","RNIN01"
"1","21673516","Active","SFD","947 Udell St","4911","$12,750","0","0","0","Ips","J C BURTONS N INDPLS","0","1HALF","DETATCH","","1,017","Yes","1,521","422","RNIN01"
"1","21680971","Active","SFD","3042 N Arsenal Ave","4912","$7,750","0","0","0","Ips","NORTH SIDE ADDITION","0","1LEVL","NONE","","828","Yes","1,656","439","RNIN01"
"1","21678697","Active","SFD","2720 N Gale St","4912","$10,250","0","0","0","Ips","BRIGHTWOOD","0","2LEVL","NONE","","576","No","576","442","RNIN01"
"1","21678693","Active","SFD","2635 Station St","4912","$10,250","0","0","0","Ips","BRIGHTWOOD","0","1LEVL","NONE","","1,236","Yes","2,076","442","RNIN01"
