MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21720523,,Residential,Single Fam,,Renegade,David Martin,,579000,579000,2020-07-10,,,
21722381,,Residential,Single Fam,,West,Kourtney Cunningham,,659900,659900,2020-07-01,,,
21722398,,Residential,Single Fam,,West,Kourtney Cunningham,,1075000,1075000,2020-07-01,,,
21720309,,Residential,Single Fam,,126,Nancy Mutchmore,,1200000,1150000,2020-06-22,,,
21722460,,Residential,Single Fam,,Waterbridge,Kourtney Cunningham,,2025000,2025000,2020-07-01,,,
21725983,,Residential,Single Fam,,Cliffside,Linnae Peat,,415000,410000,2020-07-24,,,
21723846,,Residential,Single Fam,,Towpath,Angela Huser,,427990,440990,2020-07-09,,,
21724035,,Residential,Single Fam,,Breakwater,Christopher Schulhof,,2195000,1995000,2020-07-14,,,
21721964,,Residential,Single Fam,,Brigham,Mike Deck,,589000,589000,2020-07-01,,,
21722002,,Residential,Single Fam,,Adagio,Justin Steill,Stacey T. Willis,679000,641000,2020-07-01,,,
21728016,,Residential,Single Fam,,George Gang,Mike Deck,,890000,890000,2020-07-30,,,
21721628,,Residential,Single Fam,,Mill,Melody Jones,,999999,999999,2020-06-29,,,
21722372,,Residential,Single Fam,,Sterling Bluff,Mike Deck,,1075000,1075000,2020-07-01,,,
21729058,,Residential,Single Fam,,Citadel,Cassie Newman,,355260,337260,2020-07-30,,,
21725750,,Residential,Single Fam,,Pebble Brook,Donald Kohler,,480000,435000,2020-07-19,,,
21719519,,Residential,Single Fam,,Petigru,Denise Potter,,291126,291126,2020-06-17,,"Onyx and East, LLC",Denise Potter
21702869,,Residential,Single Fam,,Dawn Ridge,Mabel Liu,,675000,665000,2020-03-30,,"MYL Realty, LLC",Mabel Liu
21711530,,Residential,Single Fam,,Deer Lake,Andrea Kelly,,749000,749000,2020-06-04,,Encore Sotheby's International,Andrea Kelly
21703799,,Residential,Single Fam,,Geist View,Paul Mitford,,1499900,1499900,2020-04-17,,F.C. Tucker Company,Jennifer Moretton
21728628,,Residential,Single Fam,,Sun Valley,Jacquie Murray,,348332,348332,2020-07-28,,Keller Williams Indy Metro S,Jacquie M. Murray
21718283,,Residential,Condo,,Glenbrook,Mark G. Hartman,,114000,114000,2020-06-10,2020-12-09,Non-BLC Office,Non-BLC Member
21720288,,Residential,Single Fam,,Combs,Cheryl A. Trietsch,,125000,125000,2020-06-22,2020-12-22,Keller Williams Indpls Metro N,Kay Alexander
21704084,,Residential,Single Fam,,College Place,Rick Hogge,,125000,125000,2020-04-06,2020-10-31,Keller Williams Indy Metro NE,Jeffrey S. Wheeler
21710729,,Residential,Condo,,Hunters,Liz Michael,,130000,130000,2020-05-19,2020-11-15,Realty One Group New Horizons,Justin R. Perrey
21710215,,Residential,Single Fam,,College Ave N,Dawn M. Fisher,Molly Babczak,169900,149900,2020-05-15,2020-10-15,Keller Williams Indpls Metro N,Dawn M. Fisher
21702264,,Residential,Condo,,Falcon,Laura Waters,,129900,129900,2020-03-26,2020-10-30,Keller Williams Indy Metro NE,Anabel C. Haviza
21724526,,Residential,Condo,,Timber Creek,Lisa M. Ruggles,,142000,142000,2020-07-14,2020-12-14,Keller Williams Indy Metro NE,Lisa M. Ruggles
21707339,,Residential,Condo,,Timber Creek,Kristin Bergunder,,145000,145000,2020-05-07,2020-11-07,Berkshire Hathaway Home,Erin Hundley
21709940,,Residential,Condo,,TIMBER CREEK,Jeffrey R. Landers,,144000,144000,2020-05-13,2020-08-13,"Morton Homes Realty, Inc.",Julie Morton
21707322,,Residential,Condo,,Lenox,Bryan D. Bransteter,,155000,155000,2020-04-28,2020-10-28,"eXp Realty, LLC",Rodney W. Heard
21712211,,Residential,Condo,,Hunters,Mike Deck,,154900,156000,2020-05-26,2020-11-26,F.C. Tucker Company,Sharon Robinson
21711536,,Residential,Condo,,GRENVILLE,Shannon Gilbert,,155000,155000,2020-05-23,2020-11-23,Keller Williams Indpls Metro N,Steven A. Rupp
21702513,,Residential,Condo,,Brockford Unit 208,Michael C. Fox,Shirley Franklin,162900,162900,2020-03-30,2020-09-30,RE/MAX Centerstone,Michael P. Price
21716461,,Residential,Condo,,Crimson,Lisa McCoy,,160000,160000,2020-06-10,2020-09-30,Keller Williams Indy Metro NE,Staci M. Woods
21711683,,Residential,Condo,,Silver Maple,Lauren Hewitt,,168000,168000,2020-05-28,2020-11-28,CENTURY 21 Scheetz,Clay Burris
21702726,,Residential,Single Fam,,Barmore,Julie Morton,David Morton,169900,169900,2020-04-24,2020-08-23,Keller Williams Indy Metro NE,Eric Forney
21718394,,Residential,Condo,,Bayberry,Ryan Dorman,,169500,169500,2020-06-12,2020-12-12,RE/MAX Ability Plus,Jason Hofmann
21714881,,Residential,Single Fam,,Lantern,Kay Kammeyer,,220000,220000,2020-06-10,2020-12-10,CENTURY 21 Scheetz,Beth Norman
21709398,,Residential,Condo,,Sugar Maple,Sharon Robinson,,170000,170000,2020-06-03,2020-12-02,CENTURY 21 Scheetz,Stacy L. Barry
21720086,,Residential,Single Fam,,Centennary,Brian Black,,174900,174900,2020-06-19,2020-09-11,"eXp Realty, LLC",Cassidy R. Ryan
21721944,,Residential,Condo,,Brockford,Donna Collier,,179900,179900,2020-07-02,2021-01-02,Keller Williams Indpls Metro N,Elizabeth A. Michael
21718137,,Residential,Single Fam,,Downing St,Terry Ackerman,,185000,185000,2020-06-11,2020-09-10,United Real Estate Indpls,Garrett Brooks
21721727,,Residential,Single Fam,,Winchester,Non-BLC Member,,185000,185000,2020-05-25,2020-07-31,F.C. Tucker Company,Candice C. Darring
21719948,,Residential,Single Fam,,Guilford,Nicole M. Mattingly,,165000,165000,2020-06-22,2020-12-22,F.C. Tucker Company,Nicole M. Mattingly
21720602,,Residential,Single Fam,,CHESTER DR,Debra Altman,,179900,179900,2020-06-24,2020-12-23,RE/MAX Ability Plus,James Robinson
