"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21744502","Active","CND","1124 Easy Unit B St","4101","$255,000","2","2","0","Centrgrove","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,541","No","1,541","110","IHRC01"
"1","21743726","Active","CND","1124 Easy Unit A St","4101","$259,000","3","2","0","Centrgrove","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,578","No","1,578","115","IHRC01"
"1","21757165","Active","SFD","3824 Clubhouse Ct","4101","$269,900","3","2","0","Centrgrove","CAREFREE","1","1LEVL","ATTACH","2","1,958","No","1,958","43","FTRE01"
"1","21754205","Active","SFD","958 N Mesa Ln","4101","$293,695","3","2","0","Centrgrove","Highland Knoll","0","1LEVL","ATTACH","2","1,583","No","1,583","67","HMSR01"
"1","21756817","Active","SFD","3881 Napier Rd","4101","$297,610","3","2","0","Centrgrove","MORNINGSIDE","0","1LEVL","ATTACH","2","1,582","No","1,582","45","CESC02"
"1","21729959","Active","SFD","1431 W Stones Crossing Rd","4101","$299,900","3","2","0","Centrgrove","STONES CROSSING","1","1LEVL","ATTACH,DETATCH,MULTI","2","1,635","No","1,635","174","JPTM01"
"1","21757389","Active","SFD","4301 Gallop Ct","4101","$314,900","3","2","0","Centrgrove","SADDLE CLUB GLENMORE","1","1LEVL","ATTACH","2","2,221","No","2,221","41","BHHS02"
"1","21754829","Active","SFD","4194 Cobblestone Way","4101","$319,990","3","2","1","Centrgrove","HUNTERS POINTE","1","2LEVL","ATTACH","2","1,976","No","1,976","62","RESL01"
"1","21752022","Active","SFD","3803 Albert Ln","4101","$326,700","3","2","0","Centrgrove","MORNINGSIDE","1","1LEVL","ATTACH","2","1,821","No","1,821","73","CESC02"
"1","21756690","Active","SFD","1005 Silver Creek Ct","4101","$329,900","3","2","0","Centrgrove","SILVER SPRINGS","1","1LEVL","ATTACH","2","1,680","No","1,680","47","BRCH01"
"1","21756198","Active","SFD","1355 Peregrine Ln","4101","$333,494","4","2","1","Centrgrove","RILEY","1","2LEVL","ATTACH","2","2,549","No","2,549","51","MIHI01"
"1","21758626","Active","SFD","4112 Backstretch Ln","4101","$339,620","3","2","0","Centrgrove","SADDLE CLUB GLENMORE","1","1LEVL","ATTACH","2","2,640","No","2,640","27","MIHI01"
"1","21756823","Active","SFD","3849 Napier Rd","4101","$340,200","3","2","0","Centrgrove","MORNINGSIDE","1","1LEVL","ATTACH","3","2,092","No","2,092","45","CESC02"
"1","21754193","Active","SFD","3844 Napier Rd","4101","$342,700","3","2","0","Centrgrove","MORNINGSIDE","1","1LEVL","ATTACH","3","2,092","No","2,092","67","CESC02"
"1","21752020","Active","SFD","3828 Napier Rd","4101","$342,705","3","2","1","Centrgrove","MORNINGSIDE","1","1LEVL","ATTACH","2","2,248","No","2,248","73","CESC02"
"1","21757751","Active","SFD","3815 Albert Ln","4101","$350,105","3","3","0","Centrgrove","MORNINGSIDE","0","1LEVL","ATTACH","3","2,225","No","2,225","38","CESC02"
"1","21755341","Active","SFD","4122 Maiden Ct","4101","$358,729","3","2","0","Centrgrove","SADDLE CLUB GLENMORE","1","1HALF","ATTACH","2","2,397","No","2,397","56","MIHI01"
"1","21734134","Active","SFD","4843 Brickert Way","4101","$359,020","4","3","0","Centrgrove","Pleasant Valley","0","1LEVL","ATTACH","3","2,093","No","2,093","98","HMSR01"
"1","21756130","Active","SFD","3860 Napier Rd","4101","$360,695","3","3","0","Centrgrove","MORNINGSIDE","0","1LEVL","ATTACH","3","2,237","No","2,237","49","CESC02"
"1","21754215","Active","SFD","4904 Brickert Way","4101","$369,799","3","2","0","Centrgrove","Pleasant Valley","0","1LEVL","ATTACH","2","1,822","Yes","3,525","67","HMSR01"
"1","21755166","Active","SFD","3117 Greensview Dr","4101","$369,900","4","2","3","Centrgrove","EL DORADO","2","1LEVL","ATTACH","2","2,015","Yes","3,967","59","WALL01"
"1","21755511","Active","SFD","4743 Brickert Ct","4101","$372,368","3","2","1","Centrgrove","Pleasant Valley","0","2LEVL","ATTACH","2","2,436","No","2,436","56","HMSR01"
"1","21755946","Active","SFD","4900 Harris Pl","4101","$403,663","4","2","1","Centrgrove","Pleasant Valley","0","2LEVL","ATTACH","2","2,378","Yes","3,389","53","HMSR01"
"1","21758885","Active","SFD","3953 Justify Dr","4101","$404,830","4","2","1","Centrgrove","Saddle Club South","1","2LEVL","ATTACH","2","3,186","No","3,186","25","MIHI01"
"1","21754483","Active","SFD","329 Hazy Ln","4101","$409,900","4","3","1","Centrgrove","MAKENA RIDGE","1","1LEVL","ATTACH","3","2,082","Yes","3,282","66","CARP08"
"1","21754830","Active","SFD","1209 Rush Dr","4101","$414,428","4","2","1","Centrgrove","Pleasant Valley","0","2LEVL","ATTACH","2","2,423","Yes","3,464","62","HMSR01"
"1","21730890","Active","SFD","4643 Fox Moor Pl","4101","$420,000","4","3","1","Centrgrove","BRENTRIDGE ESTATES","1","2LEVL","ATTACH","3","2,712","Yes","3,408","147","REAB01"
"1","21756051","Active","SFD","4945 Brickert Way","4101","$424,900","5","3","0","Centrgrove","Pleasant Valley","0","2LEVL","ATTACH","3","3,072","Yes","4,228","17","HMSR01"
"1","21757540","Active","CND","1555 Ashwood Ct","4101","$438,500","3","2","0","Centrgrove","ASHWOOD CONDOMINIUMS","1","1LEVL","ATTACH","2","2,042","No","2,042","41","TOM 01"
"1","21725715","Active","CND","1583 Hazelwood Ct W Unit#117","4101","$439,900","3","3","0","Centrgrove","ASHWOOD CONDOMINIUMS","1","2LEVL","ATTACH","3","2,137","Yes","4,274","162","CARP18"
"1","21724913","Active","SFD","5601 Harness Dr","4101","$484,900","3","2","1","Centrgrove","CALVERT FARMS","1","1LEVL","ATTACH","2","2,008","Yes","3,998","194","BRGR01"
"1","21743313","Active","SFD","2913 Abbotsbury Ct","4101","$575,000","4","3","1","Centrgrove","KENSINGTON GROVE","1","1LEVL","ATTACH","3","2,094","Yes","4,188","98","CESC02"
"1","21727899","Active","SFD","5969 Chartwell Dr","4101","$699,000","4","3","1","Centrgrove","SHADOWOOD","1","2LEVL","ATTACH","3","3,781","Yes","5,731","185","HMSR01"
"1","21724505","Active","SFD","5731 N 400 W","4101","$1,179,000","5","6","2","Centrgrove","VORHIES MINI SUB","4","2LEVL","ATTACH","3","6,571","Yes","10,330","195","TANY01"
"1","21714981","Active","SFD","4318 W Whiteland Rd","4101","$1,195,000","4","3","0","Centrgrove","STONE COVERING","2","2LEVL","ATTACH","4+","3,121","No","3,121","237","RWHA01"
"1","21750245","Active","SFD","1216 Stone Ridge Ct","4101","$1,999,000","4","5","1","Centrgrove","STONERIDGE","2","2LEVL","ATTACH,DETATCH,MULTI","4+","8,234","No","8,234","85","RREP01"
"1","21749666","Active","CND","314 Elmead Ct Unit#1007","4102","$84,500","2","1","0","Greenwood","GREENWOOD MAPLES","0","1LEVL","OTHER","","988","No","988","83","BLDE01"
"1","21753038","Active","CND","1014 E GREENWOOD Trl Unit#12","4102","$99,000","2","1","1","Greenwood","GREENWOOD TRAILS","0","2LEVL","CARPORT","1","1,088","No","1,088","46","NORE01"
"1","21750462","Active","SFD","39 Maple St","4102","$163,000","3","1","0","ClarkTOPlsn","MAPLE CREST","0","1LEVL","DETATCH","1","1,518","No","1,518","21","EZST01"
"1","21750441","Active","SFD","572 Beehler Dr","4102","$196,900","2","2","0","ClarkTOPlsn","GREENWOOD TRACE","0","1LEVL","ATTACH","2","1,113","No","1,113","16","CPRT01"
"1","21744697","Active","SFD","1335 Flintlock Dr","4102","$204,000","2","2","0","ClarkTOPlsn","CROOKED BEND","1","1LEVL","ATTACH","1","1,294","No","1,294","99","GRDS01"
"1","21758335","Active","SFD","2570 E 500 N","4102","$210,000","3","1","1","ClarkTOPlsn","GEO BROWN","1","1LEVL","ATTACH","1","1,716","No","1,716","31","KWIN14"
"1","21746122","Active","SFD","50 W Broadway St","4102","$239,000","5","2","0","Greenwood","SMART'S","2","2LEVL","NONE","","2,140","Yes","2,640","104","RESL01"
"1","21757201","Active","SFD","1154 Harrier Ln","4102","$240,000","3","2","0","ClarkTOPlsn","MEADOWS AT BAINBRIDGE","0","1LEVL","ATTACH","2","1,592","No","1,592","42","COMR01"
"1","21752491","Active","SFD","930 Padre Ln","4102","$243,000","3","2","0","ClarkTOPlsn","VALLE VISTA","1","1LEVL","ATTACH","2","2,107","No","2,107","62","GRDS01"
"1","21742945","Active","SFD","429 W Main St","4102","$248,000","2","2","0","Greenwood","NO SUBDIVISION","1","2LEVL","DETATCH","2","2,703","Yes","3,544","118","RESL01"
"1","21743448","Active","CND","1072 Laurelwood Ln","4102","$249,900","3","2","1","Greenwood","RESERVE AT TIMBERS EDGE","1","1LOFT","ATTACH","2","1,770","No","1,770","116","TRBL01"
