MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21745618,,Residential,Single Fam,,Darlington,Heather R. Schaller,,139900,139900,2020-10-16,2021-04-16,Trueblood Real Estate,Colton Cassel
21715648,,Residential,Single Fam,,Elm,Deborah Flowers,David Danz,140000,140000,2020-06-04,2021-01-04,Keller Williams Indy Metro W,Christopher G. Price
21729714,,Residential,Single Fam,,Nicely,Elizabeth Richardson,,142500,142500,2020-08-07,2021-02-09,Keller Williams Indpls Metro N,Jordan Moody
21739485,,Residential,Single Fam,,Main,Joseph Alexander,,149900,149900,2020-09-16,2021-09-16,"Carpenter, REALTORS®",David Meador
21737736,,Residential,Single Fam,,DARLINGTON,Brenda Robidou,,162000,162000,2020-09-09,2021-03-12,Brownsburg Homes Realty,Mindy Byard
21670973,,Residential,Single Fam,,Main,Stephanie Latham,,265000,255000,2019-09-23,2020-09-23,RE/MAX Ability Plus,Heather R. Schaller
21740251,,Residential,Single Fam,,COLUMBIA,Brenda Robidou,,275000,275000,2020-09-24,2021-04-23,Keller Williams Indpls Metro N,Blaine Evans
21720777,,Residential,Single Fam,,500,Heather R. Schaller,,265000,265000,2020-06-24,2020-12-24,"Carpenter, REALTORS®",Keith E. Fields
21698872,,Residential,Single Fam,,1050,Rich Boals,,409900,409900,2020-03-06,2020-09-06,F.C. Tucker Company,Rich Boals
21729203,,Residential,Single Fam,,675 W,Non-BLC Member,,407080,407080,2020-07-30,2021-01-30,F.C. Tucker Company,Carl Vargas
21737970,,Residential,Single Fam,,500,Kelly Burns,,725000,725000,2020-09-15,2021-03-16,Keller Williams Indpls Metro N,Jordan Moody
21724281,,Residential,Single Fam,,200,Mike Perron,,195000,195000,2020-07-10,2021-01-31,"Carpenter, REALTORS®",DeAnna L. Murphy
21745883,,Residential,Single Fam,,1175,Elizabeth Richardson,,239900,239900,2020-10-15,2021-04-15,"eXp Realty, LLC",Rick Patton
21706320,,Residential,Single Fam,,State Road 75,Kevin Hudoba,,249900,249900,2020-04-23,2020-10-23,Go Fish Realty,Karon Hatleli
21706112,,Residential,Single Fam,,SR 32,Tad D. Braner,,289000,280000,2020-04-23,2020-10-31,F.C. Tucker Company,Linda S. Wilcox
21735898,,Residential,Single Fam,,State Road 32,Rodney Richardson,,298800,298800,2020-08-29,2021-09-29,Berkshire Hathaway Home,Amanda K. Shockley
21742811,,Residential,Single Fam,,1100 W,Heather Hemphill,,324000,324000,2020-10-01,2021-04-01,"Carpenter, REALTORS®",Tina Biddle
