"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"501","21706906","S","SFD","433 N Darlington St","609","$85,000","2","1","0","WestBoone","NO SUBDIVISION","0","1LEVL","ATTACH","1","960","No","960","39","BHHS08"
"501","21736065","S","SFD","6968 W 700 S","609","$90,000","3","1","0","WestBoone","NO SUBDIVISION","1","1HALF","DETATCH","2","1,728","No","1,728","49","CARP25"
"501","21703766","S","SFD","434 N High St","609","$101,000","3","2","0","WestBoone","NO SUBDIVISION","0","1HALF","ATTACH","2","2,152","No","2,152","8","CARP19"
"501","21712246","S","SFD","4847 S State Road 75 Hwy","609","$113,000","3","1","0","WestBoone","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,100","No","1,100","7","KWIN15"
"501","21716486","S","SFD","206 E Main St","609","$115,000","3","2","0","WestBoone","NO SUBDIVISION","0","1LEVL","DETATCH","2","1,458","Yes","1,658","49","GRLT01"
"501","21745618","S","SFD","309 N Darlington St","609","$137,500","2","2","0","WestBoone","NO SUBDIVISION","0","2LEVL","NONE","","1,704","No","1,704","5","REAB08"
"1001","21715648","S","SFD","128 E Elm St","609","$140,000","4","2","0","WestBoone","NO SUBDIVISION","1","2LEVL","ATTACH","1","1,350","No","1,350","7","CARP30"
"1001","21729714","S","SFD","103 Nicely St","609","$145,000","4","2","0","WestBoone","NO SUBDIVISION","0","1LEVL","NONE","","1,222","No","1,222","3","BHHS08"
"1001","21739485","S","SFD","212 N Main St","609","$146,000","3","2","0","WestBoone","NO SUBDIVISION","0","1LEVL","DETATCH","1","1,198","No","1,198","63","BHHS08"
"1001","21737736","S","SFD","406 N DARLINGTON St","609","$165,000","3","2","1","WestBoone","SCARRYS","0","1HALF","ATTACH,OTHER","1","1,662","No","1,662","4","FTRE02"
"1001","21670973","S","SFD","409 S Main St","609","$190,000","2","1","0","WestBoone","NO SUBDIVISION","0","1HALF","CARPORT","4+","1,800","Yes","2,700","280","CARP26"
"1001","21740251","S","SFD","417 W COLUMBIA St","609","$275,000","5","2","1","WestBoone","MAPLE HILL","1","2LEVL","ATTACH","2","3,417","No","3,417","11","FTRE02"
"1001","21720777","S","SFD","6776 W 500 S","609","$275,000","3","2","1","WestBoone","NO SUBDIVISION","1","2LEVL","ATTACH","3","1,800","No","1,800","4","REAB08"
"1001","21698872","S","SFD","5730 S 1050 W","609","$390,000","1","1","0","WestBoone","COUNTRYTYME MINOR","0","1LEVL","ATTACH,OTHER","4+","3,200","No","3,200","74","TUCK04"
"1001","21729203","S","SFD","7970 S 675 W","609","$407,080","3","2","1","WestBoone","NO SUBDIVISION","1","1LEVL","ATTACH,TANDM","2","2,301","No","2,301","1","NBLC01"
"1001","21737970","S","SFD","4835 S 500 W","609","$730,000","5","5","2","WestBoone","NO SUBDIVISION","1","2LEVL","ATTACH","2","5,500","Yes","5,940","3","BHHS02"
"1001","21724281","S","SFD","4799 W 200 S","610","$210,000","3","2","0","WestBoone","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,365","Yes","2,171","3","REAR04"
"1001","21745883","S","SFD","2520 N 1175 W","610","$240,000","3","2","0","WestBoone","NO SUBDIVISION","0","1LEVL","DETATCH","2","1,536","Yes","2,304","6","BHHS08"
"1001","21706320","S","SFD","890 N State Road 75","610","$250,000","4","2","0","WestBoone","NO SUBDIVISION","1","1LEVL","DETATCH","4+","2,463","No","2,463","26","KWIN17"
"1001","21706112","S","SFD","5450 W SR 32","610","$275,000","3","2","1","WestBoone","NO SUBDIVISION","1","1LEVL","ATTACH","2","2,348","No","2,348","16","REAB01"
"1001","21735898","S","SFD","4870 W State Road 32","610","$298,000","3","2","0","WestBoone","NO SUBDIVISION","0","2LEVL","ATTACH","2","2,870","Yes","3,965","5","RIRC01"
"1001","21742811","S","SFD","246 S 1100 W","610","$307,000","3","2","0","WestBoone","NO SUBDIVISION","0","1LEVL","NONE","","1,716","Yes","3,432","13","FTHM01"
"1001","21727916","S","SFD","6200 W 150 S","610","$337,500","3","2","0","WestBoone","NO SUBDIVISION","1","1HALF","ATTACH,DETATCH","4+","2,340","No","2,340","3","TUCK18"
"1001","21702064","S","SFD","6690 W Hazelrigg","610","$340,000","3","2","1","WestBoone","NO SUBDIVISION","1","1LEVL","ATTACH,CARPORT","3","1,636","No","1,636","12","BHHS08"
"1001","21671912","S","SFD","9422 W 275 N","610","$350,000","4","2","1","WestBoone","NO SUBDIVISION","1","2LEVL","ATTACH","2","2,061","No","2,061","211","HSPG01"
"1001","21722666","S","SFD","6790 W 200 S","610","$362,500","3","2","1","WestBoone","NO SUBDIVISION","0","2LEVL","ATTACH","2","2,421","No","2,421","35","RCAR01"
"1001","21735651","S","SFD","555 N SR 75","610","$428,734","3","2","1","WestBoone","NO SUBDIVISION","1","2LEVL","ATTACH","3","2,888","No","2,888","5","REAB08"
"1001","21735820","S","SFD","315 PLUM St","611","$35,303","2","2","0","WestBoone","WEST","1","1LEVL","ATTACH","1","1,202","Yes","1,361","6","KWIN04"
"1001","21728062","S","SFD","301 S West St","611","$56,500","2","1","0","WestBoone","NO SUBDIVISION","0","1LEVL","DETATCH","2","618","No","618","1","KWIN01"
"1001","21716123","S","SFD","222 E Plum St","611","$74,400","2","1","0","WestBoone","NO SUBDIVISION","0","1LEVL","NONE","","876","No","876","43","KWIN01"
"1001","21711782","S","SFD","6076 N Co Rd 1000 W","611","$88,900","3","1","0","WestBoone","NO SUBDIVISION","0","2LEVL","DETATCH","1","2,336","Yes","3,180","10","CARP25"
"1001","21695002","S","SFD","1315 W Grant St","611","$110,000","5","1","2","WestBoone","WESTWOOD","0","2LEVL","ATTACH","2","1,836","No","1,836","11","KWIN04"
"1001","21706773","S","SFD","510 W Main St","611","$119,000","3","1","0","WestBoone","O P THORNTOWN","0","1HALF","NONE","","1,837","Yes","2,431","25","LABR01"
"1001","21659487","S","SFD","7546 W 825N","611","$125,000","4","2","0","WestBoone","NO SUBDIVISION","2","1LEVL","DETATCH,OTHER","2","1,792","No","1,792","384","WALL01"
"1001","21748914","S","SFD","6475 W 800 N","611","$130,000","3","2","0","WestBoone","NO SUBDIVISION","1","1LEVL","DETATCH","4+","1,488","No","1,488","1","TRDR01"
"1001","21701822","S","SFD","124 N Elm St","611","$130,000","3","1","0","WestBoone","NO SUBDIVISION","1","2LEVL","DETATCH","2","1,512","Yes","2,520","75","BHHS12"
"1001","21746932","S","SFD","7783 N US Highway 52","611","$135,000","2","2","0","WestBoone","NO SUBDIVISION","0","1LEVL","DETATCH","4+","1,120","No","1,120","4","TRDR01"
"1001","21711941","S","SFD","301 S Vine St","611","$140,000","3","2","0","WestBoone","CONDRAS","1","2LEVL","ATTACH","2","1,609","Yes","1,796","4","PDIG01"
"1001","21709735","S","SFD","409 N Market St","611","$140,000","4","1","0","WestBoone","NO SUBDIVISION","0","1LEVL","DETATCH","2","2,066","Yes","2,439","17","CARP26"
"1001","21729994","S","SFD","317 W BOW St","611","$145,000","4","1","0","WestBoone","SMITH","0","2LEVL","DETATCH","2","1,590","Yes","1,734","2","FTRE02"
"1001","21724478","S","SFD","509 W PLUM St","611","$145,000","4","3","0","WestBoone","CONDRAS","0","2LEVL","DETATCH","4+","2,587","No","2,587","9","DORF01"
"1001","21707329","S","SFD","8857 W 500 North","611","$153,000","3","2","0","WestBoone","NO SUBDIVISION","0","1LEVL","DETATCH","1","1,848","No","1,848","8","BHHS08"
"1001","21731955","S","SFD","319 OAK St","611","$170,000","3","1","0","WestBoone","WESTWOOD","0","1LEVL","DETATCH","2","1,260","No","1,260","6","BHHS08"
"1001","21715541","S","SFD","115 S FRONT St","611","$190,000","3","1","1","WestBoone","NO SUBDIVISION","1","2LEVL","DETATCH","4+","2,016","Yes","3,024","6","RIRC01"
"1001","21759664","S","SFD","123 N Elm St","611","$195,000","3","2","0","WestBoone","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,681","Yes","2,011","1","NBLC01"
"1001","21729280","S","SFD","500 W Main St","611","$200,000","4","2","1","WestBoone","NO SUBDIVISION","0","2LEVL","ATTACH","1","2,105","Yes","3,166","81","RIRC01"
"1001","21705192","S","SFD","307 S Market St","611","$212,900","4","1","1","WestBoone","NO SUBDIVISION","0","2LEVL","DETATCH","2","2,114","Yes","2,490","61","FRRS01"
"1001","21727718","S","SFD","217 N Vine St","611","$216,700","4","2","0","WestBoone","NO SUBDIVISION","0","2LEVL","DETATCH","1","2,144","No","2,144","1","EXPL01"
"1001","21743155","S","SFD","9357 W 600 N","611","$255,000","2","1","0","WestBoone","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,332","Yes","1,782","1","TUCK18"
"1001","21725066","S","SFD","9533 W 550 N","611","$277,750","3","2","0","WestBoone","NO SUBDIVISION","1","1LEVL","DETATCH","3","2,196","Yes","3,696","1","BHHS08"
"1001","21736040","S","SFD","8101 N US Highway 52","611","$310,000","3","2","0","WestBoone","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,494","Yes","2,241","2","PSRG01"
