"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"3001","21734171","S","SFD","7636 Moultrie Ct","4907","$155,000","3","1","1","PerryTwp","SOUTHERN OAKS","1","1LEVL","ATTACH","2","1,296","No","1,296","20","FTRE01"
"3001","21729395","S","SFD","7825 Cedarbrook Dr","4907","$155,000","3","1","0","PerryTwp","SOUTHRIDGE VILLAGE","0","1LEVL","ATTACH","1","1,092","No","1,092","2","CRLR01"
"3001","21742666","S","CND","8546 Bison Woods Ct","4907","$157,000","3","2","1","PerryTwp","PATIOS OF BUFFALO CREEK","1","2LEVL","ATTACH","2","1,524","No","1,524","8","DBTM01"
"3001","21739552","S","SFD","348 W Stop 11 Rd","4907","$157,000","3","1","0","PerryTwp","SOUTH HAVEN MANOR","0","1LEVL","ATTACH","1","1,040","No","1,040","2","CARP11"
"3001","21747089","S","SFD","6671 Black Antler Cir","4907","$157,900","3","2","1","PerryTwp","BUCK CREEK VILLAGE","0","BILVL","ATTACH","2","1,657","No","1,657","3","TUCK10"
"3001","21738522","S","SFD","3534 Fredricksburg Dr","4907","$158,000","3","2","0","PerryTwp","SHERMAN COMMONS","0","1LEVL","ATTACH","2","1,196","No","1,196","3","REMD01"
"3001","21728939","S","SFD","7606 Buck Run Ct","4907","$158,000","3","2","0","PerryTwp","DEERFIELD VILLAGE","0","1LEVL","ATTACH","2","1,444","No","1,444","7","CRLR01"
"3001","21743879","S","SFD","8157 MAPLE STREAM Ln","4907","$159,900","3","2","0","PerryTwp","MAPLE GROVE ESTATES","0","1LEVL","ATTACH","2","1,236","No","1,236","8","DMSR01"
"3001","21734478","S","SFD","7626 MISTY MEADOW Dr","4907","$159,900","3","2","0","PerryTwp","DEERFIELD VILLAGE","1","1LEVL","ATTACH","2","1,212","No","1,212","7","DMSR01"
"3001","21732551","S","SFD","2512 REDLAND Ln","4907","$159,900","4","2","1","PerryTwp","BUCK CREEK VILLAGE","0","2LEVL","ATTACH","2","1,724","No","1,724","7","ANWA01"
"3001","21740571","S","SFD","5640 VILLA Ave","4907","$160,000","3","2","0","PerryTwp","KEGLEYS PERMANENT HOME","0","1LEVL","DETATCH","1","1,250","No","1,250","2","ATRL02"
"3001","21739451","S","SFD","7312 Kimble Dr","4907","$160,000","3","2","0","PerryTwp","PARK VIEW AT WELLINGSHIRE","1","1LEVL","ATTACH","2","1,349","No","1,349","5","SIML01"
"3001","21737569","S","SFD","507 Deer Trail Dr","4907","$160,000","6","2","1","PerryTwp","DEERFIELD VILLAGE","0","2LEVL","ATTACH","2","1,500","No","1,500","4","CELT01"
"3001","21735435","S","SFD","7450 Griffith Rd","4907","$160,000","3","1","1","PerryTwp","GRANDVIEW ACRES","1","1LEVL","DETATCH","2","1,678","No","1,678","6","MWRG01"
"3001","21734490","S","SFD","3105 Everbloom Way","4907","$160,000","3","2","1","PerryTwp","BAYBERRY VILLAGE","0","2LEVL","ATTACH","2","1,811","No","1,811","41","CRLR01"
"3001","21732258","S","SFD","1727 W BRASSICA Way","4907","$160,000","3","2","0","PerryTwp","SONESTA","0","1LEVL","ATTACH","2","1,322","No","1,322","2","HRLS01"
"3001","21732003","S","CND","7536 Briarstone Dr","4907","$160,000","2","2","0","PerryTwp","BRIARSTONE VILLAS","1","1LEVL","ATTACH","2","1,115","No","1,115","2","TUCK04"
"3001","21731225","S","SFD","709 SILVER FOX Ct","4907","$160,000","2","2","0","PerryTwp","FOX RIDGE","0","1LEVL","ATTACH","2","1,206","No","1,206","20","EZST01"
"3001","21729618","S","CND","4010 Gray Pond Ct","4907","$160,000","2","2","0","PerryTwp","GRAY FARM ESTATES","1","1LEVL","ATTACH","2","1,180","No","1,180","2","TUCK04"
"3001","21728696","S","SFD","8026 PICKFORD Dr","4907","$160,000","3","1","1","PerryTwp","RAINBOW VALLEY","0","1LEVL","ATTACH","1","1,107","No","1,107","2","CRLR01"
"3001","21725308","S","SFD","1826 Sonesta Way","4907","$160,000","3","2","0","PerryTwp","SONESTA","0","1LEVL","ATTACH","2","1,240","No","1,240","63","KWIN02"
"3001","21723643","S","SFD","6506 HI VU Dr","4907","$160,000","3","1","1","PerryTwp","NO SUBDIVISION","0","1LEVL","ATTACH","1","1,338","No","1,338","21","SIML01"
"3001","21719922","S","SFD","828 Gettysburg Ct","4907","$160,000","4","2","0","PerryTwp","MERIDIAN WOODS PARK","1","1HALF","ATTACH","2","2,101","No","2,101","73","CARP08"
"3001","21719145","S","SFD","7739 Opelika Ct","4907","$160,000","3","1","1","PerryTwp","SOUTHERN OAKS","1","1LEVL","ATTACH","2","1,339","No","1,339","3","MNLR01"
"3001","21716819","S","SFD","2114 LILAC Dr","4907","$160,000","3","2","0","PerryTwp","ROSE MANOR","0","1LEVL","NONE","","1,440","No","1,440","58","CRLR01"
"3001","21732406","S","CND","6640 S New Jersey St","4907","$160,500","2","2","0","PerryTwp","WILLOW POND","0","1LEVL","ATTACH","2","1,288","No","1,288","4","RECH01"
"3001","21746162","S","SFD","1034 E Edwards Ave","4907","$162,500","3","2","1","Ips","ELDERS MARION HEIGHTS","0","2LEVL","DETATCH","2","1,875","Yes","2,323","2","CESC02"
"3001","21740796","S","SFD","2427 HANOVER Dr","4907","$162,500","3","1","0","PerryTwp","ROSEDALE HILLS","0","1LEVL","DETATCH","2","1,092","Yes","2,184","5","RESL01"
"3001","21730037","S","SFD","2605 Redland Ln","4907","$162,500","3","2","1","PerryTwp","BUCK CREEK VILLAGE","0","2LEVL","ATTACH","2","1,983","No","1,983","5","DBTM01"
"3001","21745270","S","SFD","4644 WHITE LICK Ct","4907","$163,000","3","2","1","PerryTwp","MERIDIAN PLACE","1","2LEVL","ATTACH","2","1,590","No","1,590","8","FTRE01"
"3001","21740811","S","SFD","2819 Redland Ln","4907","$163,000","3","2","1","PerryTwp","BUCK CREEK VILLAGE","0","2LEVL","ATTACH","2","1,970","No","1,970","14","TUCK16"
"3001","21734825","S","SFD","1714 Sonesta Way","4907","$163,000","3","2","0","PerryTwp","SONESTA","0","1LEVL","ATTACH","2","1,358","No","1,358","7","KWIN02"
"3001","21728482","S","SFD","7912 S Sherman Dr","4907","$163,000","3","1","1","PerryTwp","HOLLY HILLS","0","1LEVL","ATTACH","1","1,220","No","1,220","1","CRLR01"
"3001","21728050","S","SFD","2631 EDDINGTON Rd","4907","$163,000","3","1","1","PerryTwp","SOUTHRIDGE VILLAGE","0","1LEVL","ATTACH","1","1,386","No","1,386","17","DMSR01"
"3001","21739732","S","SFD","1514 KINCANNON Ln","4907","$163,900","2","2","0","PerryTwp","SOUTHWINDS CIRCLE AT MURPHY'S LANDING","0","1LEVL","ATTACH","2","1,214","No","1,214","2","JPTM01"
"3001","21734454","S","SFD","6216 Monteo Dr","4907","$164,000","3","2","1","PerryTwp","MONTEO VILLAGE","0","2LEVL","ATTACH","2","1,494","No","1,494","18","DMSR01"
"3001","21730002","S","SFD","2240 E Thompson Rd","4907","$164,800","3","2","0","PerryTwp","ROSEDALE HILLS","0","1LEVL","ATTACH","1","1,257","Yes","2,099","5","DMSR01"
