"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21732062","Active","CND","6454 Potomac Square Ln Unit#7","4902","$130,000","2","2","1","PikeTwp","GEORGETOWN","1","2LEVL","ATTACH","2","1,600","No","1,600","11","SVTN01"
"1","21734409","Active","SFD","7545 SEDGE MEADOW Dr","4902","$839,900","5","4","2","PikeTwp","THE PRESERVE AT EAGLE CREEK","2","1HALF","ATTACH,MULTI","4+","4,823","Yes","8,646","150","WSRL01"
"1","21730974","Active","SFD","7014 Andre Dr","4902","$895,000","5","5","1","PikeTwp","NORMANDY FARMS","2","2LEVL","ATTACH","3","3,256","Yes","5,203","163","BHHS01"
"1","21715582","Active","CND","4000 N Meridian St Unit#2A","4903","$159,000","1","1","0","Ips","TARKINGTON TOWER","0","1LEVL","ATTACH","1","1,000","No","1,000","235","EXPL01"
"1","21729240","Active","SFD","534 E 40TH St","4903","$164,999","2","1","0","Ips","NORTHERN HEIGHTS","1","1LEVL","NONE","","1,261","Yes","2,445","171","CBRL01"
"1","21732840","Active","SFD","60 E 87th St","4903","$250,000","3","1","1","Washington","MERIDIAN MANOR","1","1LEVL","ATTACH","2","1,632","No","1,632","120","TRBL01"
"1","21721278","Active","SFD","6337 Filly Cir","4903","$274,900","3","2","0","Washington","GRANDVIEW PARK","0","1LEVL","ATTACH","2","1,574","No","1,574","213","HMSR01"
"1","21731517","Active","SFD","1024 Stallion Ct","4903","$291,900","2","2","0","Washington","GRANDVIEW PARK","0","1LEVL","ATTACH","2","1,719","No","1,719","165","HMSR01"
"1","21731699","Active","SFD","1022 Stallion Ct","4903","$292,900","2","2","0","Washington","GRANDVIEW PARK","0","1LEVL","ATTACH","2","1,730","No","1,730","164","HMSR01"
"1","21720359","Active","SFD","6310 Stallion Way","4903","$299,900","3","2","0","Washington","GRANDVIEW PARK","0","1LEVL","ATTACH","2","1,802","No","1,802","216","HMSR01"
