MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21646528,,Residential,Single Fam,,Illinois,Tom McNulty,,974900,799900,2019-06-22,,,
21651933,,Residential,Single Fam,,52nd,Keith Dedrick,,3300000,489000,2019-07-02,,,
21664090,,Residential,Single Fam,,Leland,Charlene Gaard,,65000,65000,2019-08-28,,,
21651300,,Residential,Single Fam,,Parklake,Keith Dedrick,,3300000,489000,2019-06-28,,,
21664092,,Residential,Single Fam,,Eugene,Charlene Gaard,,90000,90000,2019-08-29,,,
21663247,,Residential,Single Fam,,Michigan,Bruce Baird,,18000,16250,2019-08-20,,,
21663241,,Residential,Single Fam,,Olney,Bruce Baird,,18000,16250,2019-08-20,,,
21663230,,Residential,Single Fam,,Olney,Bruce Baird,,18000,16250,2019-08-20,,,
21661754,,Residential,Single Fam,,Parker,Bruce Baird,,19500,17750,2019-08-13,,,
21656360,,Residential,Single Fam,,Rural,Bruce Baird,,22500,17750,2019-07-23,,,
21660965,,Residential,Single Fam,,Gale,Bruce Baird,,20250,18250,2019-08-09,,,
21660860,,Residential,Single Fam,,Adams,Bruce Baird,,24750,22500,2019-08-08,,,
21660997,,Residential,Condo,,East,Randy Farrell,,378629,387600,2019-08-09,,,
21649761,,Residential,Condo,,20th,Terry Brown,,419000,429000,2019-06-21,,,
21660881,,Residential,Condo,,East,Luci Chalian,,519670,523600,2019-08-09,,,
21660981,,Residential,Condo,,East,Larry Gregerson,,530043,529600,2019-08-09,,,
21655733,,Residential,Condo,,Ohio Street,Joe Everhart,Quinn Demaree,550000,535000,2019-07-19,,,
21661097,,Residential,Condo,,East,Larry Gregerson,,562275,564900,2019-08-09,,,
21660987,,Residential,Condo,,East,Annie Caruso,,559025,567900,2019-08-09,,,
21661128,,Residential,Condo,,East,Luci Chalian,,748007,715600,2019-08-09,,,
21661021,,Residential,Condo,,East,Randy Farrell,,749825,783600,2019-08-09,,,
21663242,,Residential,Single Fam,,Temple,Bruce Baird,,18000,12750,2019-08-20,,,
21645444,,Residential,Single Fam,,Cruft,Bruce Baird,,28000,21500,2019-06-06,,,
21645464,,Residential,Single Fam,,Hoefgen,Bruce Baird,,26000,23500,2019-06-06,,,
21662956,,Residential,Single Fam,,Talbott,Joseph Sullivan,,205000,205000,2019-08-27,,,
21662886,,Residential,Single Fam,,DELAWARE,Joseph Sullivan,,205000,205000,2019-08-27,,,
21662745,,Residential,Single Fam,,Iowa,Joseph Sullivan,,205000,205000,2019-08-27,,,
21665284,,Residential,Single Fam,,Hoyt,Brian Ferguson,,624900,499900,2019-08-31,,,
