MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21658370,,Residential,Single Fam,,Utterback,Brent Rickards,,250000,250000,2019-07-29,2019-12-27,CENTURY 21 Scheetz,Traci A.Bringle
21645671,,Residential,Single Fam,,WINDING TRAIL,Ann Pence,,249900,249900,2019-06-09,2019-12-08,The Modglin Group,Sherri L. Conkle
21628764,,Residential,Single Fam,,Clary Blvd South,Hilda Ellis,Clifford Ellis,260000,260000,2019-03-24,2019-09-25,"Carpenter, REALTORS®",Douglas E. Thompson
21645535,,Residential,Single Fam,,Valdarno,Edwina Withers,,249000,249000,2019-06-06,2019-12-06,Jeff Paxson Team,Jeffrey D. Paxson
21600219,,Residential,Single Fam,,Greensview,Jeffrey Paxson,,275000,275000,2018-10-09,2019-05-30,Mike Watkins Real Estate Group,Patrick Watkins
21649669,,Residential,Single Fam,,Wales,David P. Ebeyer,,249900,249900,2019-06-24,2019-09-24,Trueblood Real Estate,James B. Trueblood
21641248,,Residential,Single Fam,,Hazy,Stephanie Lines,,250000,250000,2019-05-16,2019-11-11,"Indiana Realty Pros, Inc.",Ron Rose
21681369,,Residential,Single Fam,,WAKEFIELD SOUTH,Ray Podesta,Mark J. Branch,254900,254900,2019-11-19,2020-05-15,H & H Realty,Chad Hughes
21656403,,Residential,Single Fam,,SABLE CREEK,Paige Tam,,250000,250000,2019-08-17,2020-01-17,"Dietel Realty Group, LLC",Mark Dietel
21658801,,Residential,Single Fam,,Yeagy,Jeffrey Paxson,,250000,250000,2019-07-30,2020-01-30,CENTURY 21 Scheetz,Maureen Watson
21634886,,Residential,Single Fam,,Gillsland,Fred Nelson,,258475,253475,2019-04-18,2020-04-18,Compass Realty LLC.,Jake R. Stiles
21635762,,Residential,Single Fam,,Misthaven,Casey Lucas,,259900,259900,2019-04-26,2020-04-26,Keller Williams Indy Metro S,Sherie Howard
21663497,,Residential,Single Fam,,Yeagy,Erica Duncan,Amanda Benge,259900,259900,2019-08-21,2020-02-21,F.C. Tucker Company,Terry Waggoner
