MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21652816,,Residential,Single Fam,,County Road 1025,Tyler Cox,,259900,259900,2019-07-08,2019-12-31,Keller Williams Indy Metro W,Matthew Reffeitt
21615454,,Residential,Single Fam,,Wellspring,Craig Bartels,Theresa A. Bartels,280000,264300,2019-01-21,2019-11-21,Keller Williams Indpls Metro N,Kimberly A. Wilson
21635958,,Residential,Single Fam,,River Ridge,Dawn M. Lowden,,269900,269900,2019-04-24,2019-06-30,Community Real Estate Group,Dawn M. Lowden
21656681,,Residential,Single Fam,,Ballard,Daniel Moran,,269000,269000,2019-07-24,2020-01-24,Highgarden Real Estate,Brendan T. Grosvenor
21647526,,Residential,Single Fam,,Legacy,Goitom E. Beyen,,284900,279900,2019-06-17,2019-12-31,F.C. Tucker Company,Jason R. DeArman
21599551,,Residential,Single Fam,,Ennis,Jason Whitaker,Rachelle Whitaker,289999,279999,2018-10-05,2019-10-19,Berkshire Hathaway Home,Richard Amburgey
21672784,,Residential,Single Fam,,Oakmont,David Danz,Deborah Flowers,275000,275000,2019-10-02,2020-04-02,Keller Williams Indy Metro W,Benjamin Thomas
21672416,,Residential,Condo,,Shoal Creek,Marty Wagner,,275000,275000,2019-10-01,2020-04-30,F.C. Tucker Company,Marty Wagner
21643198,,Residential,Single Fam,,Cindy,Jamie Hall,Lea K. Grove,279900,279900,2019-05-28,2019-11-28,"Carpenter, REALTORS®",Lance Crewes
21641692,,Residential,Single Fam,,Fox Hunt,Cindy Sylvester,Roger Lundy,300000,300000,2019-05-21,2019-11-21,"Carpenter, REALTORS®",Rhonda Smith
21674792,,Residential,Single Fam,,County Road 800,Dave E. Johnson,,309000,290000,2019-10-11,2020-04-11,F.C. Tucker Company,Julie C. Preston
21643715,,Residential,Single Fam,,Haven,Bradley A. Grant,,280000,280000,2019-05-31,2019-12-01,Plat Collective,Brian Foreman
