MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21755387,,Residential,Single Fam,,DABNY,Amanda Hull,,145000,145000,2020-11-30,,,
21753081,,Residential,Single Fam,,Deer Creek,Ben Li,,235000,235000,2020-12-02,,,
21750855,,Residential,Single Fam,,79th,Christopher Doyle,Michele Doyle,275000,240000,2020-11-03,,,
21756376,,Residential,Single Fam,,Fauna,Matt McLaughlin,,2200000,2200000,2020-12-11,,,
21754961,,Residential,Single Fam,,Primrose,Monica Klein-Dollens,,62000,62000,2020-11-25,,,
21754759,,Residential,Condo,,PARK CENTRAL S DR,Jen Webster,Marsha Wilson,75000,67000,2020-11-25,,,
21750222,,Residential,Single Fam,,39th,Scott A. Wynkoop,,110000,105000,2020-11-13,,,
21757620,,Residential,Single Fam,,haynes,Brenda Gonzalez,Zachary Hoereth,149000,145500,2020-12-16,,,
21756474,,Residential,Single Fam,,RALSTON,Karen L. Tanner,Anne Schweiger,154900,149900,2020-12-08,,,
21753134,,Residential,Single Fam,,Rural,Thomas V. Endicott,,139900,149900,2020-11-19,,,
21757097,,Residential,Single Fam,,Bernard,Beau Matlock,,168000,157500,2020-12-13,,,
21757464,,Residential,Single Fam,,Crittenden,James Storey,,169900,169900,2020-12-15,,,
21750325,,Residential,Single Fam,,Ralston,Michelle L. Campbell,,179000,172000,2020-11-13,,,
21754410,,Residential,Single Fam,,Crittenden,Richard J. Ward,,172900,172900,2020-11-23,,,
21752235,,Residential,Single Fam,,Indianola,Connor Simonson,,175000,175000,2020-11-16,,,
21754325,,Residential,Single Fam,,Evanston,Cindy Martin,,184900,179900,2020-11-18,,,
21752033,,Residential,Condo,,Cadbury,John S. Lewis,,209900,179900,2020-11-11,,,
21754230,,Residential,Single Fam,,42ND,Tasheana Hanza,,185000,185000,2020-11-19,,,
21752232,,Residential,Single Fam,,Evanston,Connor Simonson,,185000,185000,2020-11-16,,,
21755115,,Residential,Single Fam,,Victoria,Sanjiv Neal,,189900,189900,2020-11-27,,,
21751377,,Residential,Condo,,Colfax,Lisamarie J. Stonebraker,,189900,189900,2020-11-09,,,
21756844,,Residential,Single Fam,,Kessler Blvd N,Chiquita Watkins,,198500,198500,2020-12-14,,,
21758505,,Residential,Single Fam,,Gale,David Landau,,230000,225000,2020-12-30,,,
21758414,,Residential,Condo,,Meridian,Cynthia Yosha-Snyder,,225000,225000,2020-12-29,,,
21752146,,Residential,Single Fam,,Meridian Square,Kevin Hudoba,,239900,239900,2020-11-13,,,
21758479,,Residential,Condo,,NEWPORT BAY,Alice Steppe,,264999,264999,2020-12-29,,,
21750600,,Residential,Single Fam,,Park,Timothy O'Connor,Sean O'Connor,275000,275000,2020-11-16,,,
