MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21671460,,Residential,Single Fam,,Sanner,Todd Von Deylen,,522989,522989,2019-09-26,,,
21683850,,Residential,Single Fam,,Hague,Jan Campbell,,679000,679000,2019-11-26,,,
21658356,,Residential,Single Fam,,Girvan,Gerald Holman,Douglas E. Reid,475000,455000,2019-08-01,,,
21685123,,Residential,Single Fam,,MYSTIC ROCK,Jeffery Watkins,,365000,340000,2019-12-06,,,
21679013,,Residential,Single Fam,,Mystic Rock,Kevin Elson,Mike Robinson,349900,349900,2019-11-08,,,
21687598,,Residential,Single Fam,,Mill Creek,Tina Floyd-Snodgrass,,850000,850000,2019-12-31,,,
21679991,,Residential,Single Fam,,Howard,John Story,Jennifer Garland,149900,104900,2019-11-06,,,
21644970,,Residential,Single Fam,,Oak Ridge,Anthony Walton,,299000,299000,2019-06-14,,Walton Realty Group,Anthony Walton
21662571,,Residential,Condo,,Waterfront,Aaron Walker,,339000,339000,2019-08-16,,Coldwell Banker Shook,Aaron Walker
21666943,,Residential,Single Fam,,122ND,Cameron Geesaman,,75000,75000,2019-10-10,2020-05-10,Non-BLC Office,Non-BLC Member
21650862,,Residential,Condo,,Hunters,Teresa P. Easterday,,115000,105000,2019-07-27,2019-12-21,Keller Williams Indy Metro S,Benjamin Tupper
21684086,,Residential,Condo,,University Crescent,Dick Richwine,Jeffrey S. Joyce,110000,110000,2019-11-25,2019-12-20,Berkshire Hathaway Home,Dick Richwine
21638098,,Residential,Condo,,Tradd,Vishnu Koneru,,122000,119900,2019-05-04,2019-10-31,RE/MAX Ability Plus,Vishnu Koneru
21652456,,Residential,Condo,,University Crescent,Joseph Kempler,,124500,124500,2019-07-05,2020-01-05,F.C. Tucker Company,Anjushree Bothra
21665418,,Residential,Condo,,University Crescent 2B,Joseph Kempler,,124800,124800,2019-09-03,2020-03-31,Encore Sotheby's International,Joseph Kempler
