MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21729067,,Residential,Single Fam,,Silver Spoon,Nicholas Galvin,,215500,213500,2020-07-31,2020-10-31,Front Porch Real Estate,Dakota J. James
21724187,,Residential,Single Fam,,Sawdust,Marie Edwards,,218380,218380,2020-07-10,2021-07-31,Homewise Realty LLC,Joseph C. Gray
21742721,,Residential,Single Fam,,Van Buren,Marie Edwards,,222512,222512,2020-09-28,2021-09-30,Non-BLC Office,Non-BLC Member
21728795,,Residential,Single Fam,,Punkin,Brittany Burke,Rodney Brown,215000,215000,2020-07-29,2021-02-28,RE/MAX Realty Group,Brittany Burke
21689633,,Residential,Single Fam,,Longleaf,Marie Edwards,,223748,223748,2020-01-16,2021-01-31,Non-BLC Office,Non-BLC Member
21743749,,Residential,Single Fam,,Sonoma,Cassandra Tannehill,,229900,229900,2020-10-01,2020-12-31,Relocation Specialists,Jennifer L. Wakefield
21723160,,Residential,Single Fam,,Boots,Aaron Wheeler,,217840,217840,2020-06-22,2020-12-31,Non-BLC Office,Non-BLC Member
21729553,,Residential,Single Fam,,Gondola,Rebecca Hibbert,,217900,217900,2020-08-03,2021-02-03,RE/MAX Realty Group,Mark Dudley
21738301,,Residential,Single Fam,,Van Buren,Marie Edwards,,212000,218000,2020-09-11,2021-09-30,Non-BLC Office,Non-BLC Member
21706223,,Residential,Single Fam,,Tinker,Heather Way,,225000,219500,2020-04-22,2020-10-21,F.C. Tucker Company,Sarah O'Donnell
21720377,,Residential,Single Fam,,Longleaf,Marie Edwards,,223280,223280,2020-06-22,2021-06-30,Non-BLC Office,Non-BLC Member
21716185,,Residential,Single Fam,,Sheets,Mahlie Dukes,,219000,219000,2020-06-04,2020-11-04,Berkshire Hathaway Home,Deb Polise
21705389,,Residential,Single Fam,,Rocky,Marie Edwards,,224929,219900,2020-04-16,2021-04-30,RE/MAX Realty Group,Cassandra Tannehill
21748462,,Residential,Single Fam,,Mohr,Debbie Brammer,,214900,214900,2020-10-23,2021-04-30,"Carpenter, REALTORS®",Jan Herr
21707661,,Residential,Single Fam,,Longleaf,Marie Edwards,,225206,225206,2020-04-30,2021-04-30,F.C. Tucker Company,Jennifer S. Anderson
