"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21684763","Active","SFD","2125 Wilshire Rd","4903","$320,000","4","3","1","Washington","WYNNEDALE","1","2LEVL","DETATCH","3","3,396","Yes","4,346","129","LITZ01"
"1","21680948","Active","SFD","1111 Eugene St","4911","$9,000","0","0","0","Ips","BRADEN ET AL NORTH INDPLS ADD","0","2LEVL","NONE","","1,730","Yes","2,162","398","RNIN01"
"1","21680971","Active","SFD","3042 N Arsenal Ave","4912","$7,750","0","0","0","Ips","NORTH SIDE ADDITION","0","1LEVL","NONE","","828","Yes","1,656","439","RNIN01"
"1","21685696","Active","SFD","2354 N College Ave","4912","$350,000","4","2","1","Ips","NO SUBDIVISION","0","2LEVL","DETATCH","2","3,080","Yes","4,620","408","NOLI01"
"1","21683864","Active","SFD","704 N PARK Ave","4912","$1,750,000","3","3","1","Ips","WALDORF","3","2LEVL","ATTACH","2","3,816","Yes","6,046","426","EVRR01"
"1","21685744","Active","SFD","1646 S DELAWARE St","4913","$274,900","3","2","1","Ips","FENNEMANS","0","2LEVL","NONE","","1,709","Yes","1,959","412","TUCK04"
"1","21680672","Active","SFD","477 S Exeter Ave","4914","$65,000","2","1","0","Ips","ALEXANDER HEIGHTS","0","1LEVL","NONE","","1,056","No","1,056","345","NOLI01"
"1","21658010","Pend","SFD","3519 Church St","4909","$155,000","4","2","0","WayneTwp","WILLIAM J SPEER'S","0","2LEVL","ATTACH","2","1,751","No","1,751","89","PDIG01"
"1","21675325","S","CND","6430 Commons Dr","4902","$48,000","3","2","1","Ips","EMERALD GREEN","0","2LEVL","CARPORT","1","1,602","No","1,602","5","CESC05"
"1","21672203","S","CND","3964 BRADDOCK Rd","4902","$60,500","2","1","0","PikeTwp","CROOKED CREEK CONDOMINIUM","0","1LEVL","ATTACH","1","1,126","No","1,126","28","CESC04"
"1","21681155","S","CND","8275 HEWLET Dr","4902","$71,500","2","1","1","PikeTwp","CROOKED CREEK CONDOMINIUM","0","2LEVL","ATTACH","1","1,058","No","1,058","2","KWIN01"
"1","21672628","S","CND","3974 BRADDOCK Rd Unit#63","4902","$71,500","2","1","0","PikeTwp","CROOKED CREEK CONDOMINIUM","1","1LEVL","ATTACH","1","1,126","No","1,126","22","URE 01"
"1","21663615","S","CND","4611 London Dr","4902","$72,000","2","1","1","PikeTwp","WHITEHALL COMMONS","0","2LEVL","ATTACH","1","968","No","968","13","TUCK31"
"1","21672638","S","CND","4381 W Village Parkway Cir Unit#6","4902","$73,000","2","2","0","PikeTwp","THE VILLAGE AT EAGLE CREEK","0","1LEVL","DETATCH","1","993","No","993","16","HSPG01"
"1","21674022","S","CND","4301 Village Parkway Cir W Unit#CI","4902","$80,000","2","2","0","PikeTwp","THE VILLAGE AT EAGLE CREEK","1","1LEVL","OTHER","","993","No","993","11","AMPM01"
"1","21668741","S","CND","4281 W Village Parkway Cir Unit#8","4902","$80,000","2","2","0","PikeTwp","THE VILLAGE AT EAGLE CREEK","1","1LEVL","DETATCH","1","993","No","993","21","PGIL01"
"1","21667272","S","CND","4281 Village Parkway Cir W Unit#6","4902","$80,000","2","2","0","PikeTwp","THE VILLAGE AT EAGLE CREEK","0","1LEVL","NONE,OTHER","","993","No","993","53","TUCK07"
"1","21680596","S","SFD","4504 Drayton Ct","4902","$82,000","3","1","0","Ips","WEDGEWOOD","0","1LEVL","ATTACH","1","950","No","950","2","HSRG01"
"1","21671366","S","SFD","5919 Price Ln","4902","$82,000","3","1","0","Ips","GATEWAY WEST","1","1LEVL","DETATCH","2","1,225","No","1,225","8","CARP03"
"1","21658083","S","CND","4109 E EAGLE COVE EAST Dr","4902","$85,000","2","1","0","PikeTwp","EAGLE COVE","1","1LEVL","ATTACH","1","880","No","880","37","SVTN01"
"1","21678239","S","SFD","4960 Clarkson Dr","4902","$88,000","2","2","1","PikeTwp","ARBOR VILLAGE","1","2LEVL","ATTACH","2","1,395","No","1,395","2","INPS01"
"1","21674216","S","CND","4630 W 47th St","4902","$90,000","2","1","1","PikeTwp","WHITEHALL COMMONS","0","1LEVL","ATTACH","1","1,205","No","1,205","2","REMD01"
"1","21665715","S","SFD","4132 N VINEWOOD Ave","4902","$90,000","3","1","0","Ips","GATEWAY WEST","0","1LEVL","DETATCH","2","1,096","No","1,096","28","SHAR01"
"1","21666308","S","CND","4737 Kelvington Dr Unit#10","4902","$93,000","2","1","1","PikeTwp","WESTHAVEN COMMONS","1","2LEVL","ATTACH","1","1,200","No","1,200","32","CARP26"
"1","21679052","S","CND","4637 KIMMERIDGE Ln","4902","$97,000","2","1","1","PikeTwp","WESTHAVEN COMMONS","1","2LEVL","ATTACH","1","1,200","No","1,200","9","REMD01"
"1","21665687","S","CND","5371 BAY HARBOR Dr","4902","$98,900","2","2","1","PikeTwp","HIDDEN BAY","1","2LEVL","ATTACH","2","1,640","No","1,640","38","REAR01"
"1","21672786","S","SFD","4821 OSSINGTON Ct","4902","$99,900","2","2","0","PikeTwp","BAYSWATER AT EAGLE CREEK","0","1LEVL","ATTACH","1","933","No","933","4","HSRT01"
"1","21665680","S","CND","4950 Potomac Square Way #6","4902","$102,000","2","2","0","PikeTwp","6500 GEORGETOWN HPR","0","2LEVL","ATTACH","2","1,148","No","1,148","-19","TUCK24"
"1","21679365","S","CND","8418 Glenwillow Ln Unit#101","4902","$102,500","2","2","0","PikeTwp","HIDDEN CREEK","0","1LEVL","OTHER","","1,072","No","1,072","5","KWIN01"
"1","21674917","S","CND","7509 Chatterton Dr","4902","$103,814","2","1","1","PikeTwp","COBBLESTONE","1","2LEVL","ATTACH","1","1,211","No","1,211","10","KWIN05"
"1","21652496","S","SFD","5622 Liberty Creek Dr E","4902","$104,163","3","2","1","PikeTwp","LIBERTY CREEK","1","TRILV","ATTACH","2","1,540","No","1,540","7","REAR01"
"1","21685272","S","SFD","6882 Grampian Way","4902","$105,000","3","2","1","PikeTwp","HIGHLANDS AT EAGLE CREEK","1","1HALF","ATTACH","2","1,882","No","1,882","3","KWIN05"
"1","21680565","S","SFD","5714 ENSLEY Ct","4902","$105,000","3","2","1","PikeTwp","BROOKFIELD VILLAGE","0","2LEVL","ATTACH","2","1,440","No","1,440","5","KWIN01"
"1","21672823","S","CND","6426 Cotton Bay N Dr","4902","$109,900","2","2","1","PikeTwp","HIDDEN BAY","1","2LEVL","ATTACH","1","1,390","No","1,390","3","RRSE01"
"1","21676025","S","SFD","5030 Lewiston Dr","4902","$110,000","2","2","1","PikeTwp","ARBOR VILLAGE","1","2LEVL","ATTACH","2","1,395","No","1,395","2","GLSR01"
"1","21672582","S","CND","2435 Brewster Rd Unit#1","4902","$110,000","1","1","1","PikeTwp","NORTH WILLOW FARMS","1","2LEVL","ATTACH","1","1,180","No","1,180","2","KWIN17"
"1","21667211","S","SFD","4365 Braemar Dr","4902","$110,000","3","2","0","PikeTwp","HIGHLANDS AT EAGLE CREEK","1","1LEVL","ATTACH","2","1,420","No","1,420","26","REAR01"
"1","21650342","S","SFD","3956 N Vinewood Ave","4902","$110,000","3","1","0","Ips","GATEWAY WEST","0","BILVL","ATTACH","1","1,776","Yes","1,776","77","EMPE01"
"1","21680466","S","CND","6454 Potomac Square Ln Unit#10","4902","$112,000","2","2","1","PikeTwp","GEORGETOWN","1","2LEVL","ATTACH","2","1,273","No","1,273","6","SSRI01"
"1","21665649","S","CND","6445 Cotton Bay Dr N","4902","$112,500","2","2","1","PikeTwp","HIDDEN BAY","1","2LEVL","ATTACH","1","1,390","No","1,390","4","CESC05"
"1","21670046","S","SFD","7833 Shady Hills West Dr","4902","$113,000","4","2","1","PikeTwp","SHADY HILLS","1","2LEVL","ATTACH","1","2,194","Yes","2,314","28","RHSS01"
"1","21660625","S","SFD","5452 N HIGH SCHOOL Rd","4902","$113,000","3","1","1","PikeTwp","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,391","No","1,391","28","TUCK09"
"1","21679187","S","CND","9510 Fordham St Unit#23","4902","$113,500","2","2","0","PikeTwp","NO SUBDIVISION","0","1LEVL","NONE","","1,296","No","1,296","11","PDIG01"
"1","21676376","S","CND","6250 Bishops Pond Ln","4902","$114,000","2","2","1","PikeTwp","BISHOPS POND","1","2LEVL","ATTACH","2","1,464","No","1,464","2","CORG01"
"1","21675891","S","CND","9140 Cinnebar Dr","4902","$114,000","2","1","1","PikeTwp","NORTH WILLOW PARK","1","2LEVL","ATTACH","1","1,180","No","1,180","7","TUCK14"
"1","21669973","S","CND","4439 Nighthawk Ct","4902","$115,000","3","2","1","PikeTwp","GUION CREEK WOODS","1","2LEVL","ATTACH","2","1,567","No","1,567","5","TUCK10"
"1","21678978","S","CND","4950 Potomac Square Way Unit#7","4902","$116,000","2","2","1","PikeTwp","6500 GEORGETOWN HPR","1","2LEVL","ATTACH","2","1,450","No","1,450","23","CARP16"
"1","21670441","S","SFD","4266 N VINEWOOD Ave","4902","$118,000","3","1","1","Ips","WEDGEWOOD","0","1LEVL","ATTACH","1","1,256","No","1,256","5","CORG01"
"1","21680902","S","SFD","5650 Crown Vetch Pl","4902","$119,700","2","1","1","PikeTwp","GLEN AT EAGLE CREEK","1","1LEVL","ATTACH","2","964","No","964","1","EXPL01"
"1","21675555","S","SFD","6324 Bonanza Ln","4902","$120,000","3","1","1","PikeTwp","COUNTRY AIR ESTATES","0","1LEVL","ATTACH","2","1,207","No","1,207","5","LBRT01"
"1","21675108","S","SFD","4437 Fullwood Ct","4902","$120,000","3","2","1","PikeTwp","MOLLER VILLAGE","0","2LEVL","ATTACH","2","1,311","No","1,311","9","JTFP01"
"1","21663856","S","SFD","6035 Polonius Ct","4902","$120,000","3","2","0","PikeTwp","STRATFORD GLEN","1","1LEVL","ATTACH","2","1,330","No","1,330","20","URE 01"
"1","21661510","S","SFD","5902 Getz Ln","4902","$120,000","3","2","0","Ips","GATEWAY WEST","0","1LEVL","OTHER","","1,345","No","1,345","3","TUCK18"
"1","21675883","S","CND","9568 Maple Way","4902","$121,500","2","2","0","PikeTwp","NORTH WILLOW WOODS","1","2LEVL","ATTACH","1","1,234","No","1,234","4","ECOR01"
"1","21664233","S","CND","8720 YARDLEY #207 Ct","4902","$122,000","2","2","0","PikeTwp","YARDLEY COURT","0","1LEVL","DETATCH","1","1,175","No","1,175","23","SAND01"
