"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21671460","Active","SFD","380 Sanner Ct","2910","$522,989","4","2","0","Carmelclay","RESERVE AT SPRINGMILL","0","1LEVL","ATTACH","2","2,202","Yes","4,404","478","DEYL01"
"1","21683850","Active","SFD","10720 Hague Rd","2911","$679,000","5","3","0","HamltSe","FISHERS","2","1LEVL","ATTACH,TANDM","3","4,554","No","4,554","426","REAB01"
"1","21658356","Active","SFD","12818 N Girvan Way","2912","$455,000","5","3","0","HamltSe","TURNBERRY","1","2LEVL","ATTACH","3","3,400","Yes","5,100","543","SCBA01"
"1","21685123","Active","SFD","15457 MYSTIC ROCK Dr","2913","$340,000","3","3","0","WestWashn","BRIDGEWATER CLUB","1","1LOFT","ATTACH","2","2,085","No","2,085","407","WMCR01"
"1","21679013","Active","SFD","15393 Mystic Rock Dr","2913","$349,900","4","3","1","WestWashn","BRIDGEWATER CLUB","0","3LEVL","ATTACH","2","2,292","No","2,292","443","REAB01"
"1","21687598","Active","SFD","17095 S Mill Creek Rd","2914","$850,000","4","2","0","Noblesvill","NO SUBDIVISION","0","1LEVL","DETATCH","1","1,544","Yes","2,220","390","KWIN01"
"1","21679991","Active","SFD","205 E Howard Ave","2917","$104,900","3","2","0","HamltHght","ARCADIA LAND & IMPROV CO","0","1LEVL","NONE","","1,620","No","1,620","431","TUCK08"
"1","21644970","Pend","SFD","21529 Oak Ridge Rd","2913","$299,000","4","2","0","Sheridan","NO SUBDIVISION","0","1LEVL","NONE","","2,810","No","2,810","193","WLRG01"
"1","21662571","Pend","CND","222 Waterfront Ct","2914","$339,000","2","2","0","Noblesvill","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,490","No","1,490","4","CBSK01"
"1","21666943","S","SFD","6175 E 122ND St","2910","$70,000","2","1","1","Carmelclay","NO SUBDIVISION","1","1LEVL","ATTACH","1","1,105","No","1,105","2","CESC04"
"1","21650862","S","CND","589-B Hunters Dr E Unit#B","2910","$93,750","1","1","0","Carmelclay","HUNTERS GLEN","0","1LEVL","CARPORT","","868","No","868","61","KWIN05"
"1","21684086","S","CND","12840 University Crescent Unit#1A","2910","$110,000","1","1","0","Carmelclay","WENTWORTH AT WESTCLAY","0","1LEVL","OTHER","1","766","No","766","1","BHHS01"
"1","21638098","S","CND","12823 Tradd St Unit#2A","2910","$110,000","1","1","0","Carmelclay","VILLAGE OF WESTCLAY","0","1LEVL","NONE","","766","No","766","35","REAB01"
"1","21652456","S","CND","12926 University Crescent Unit#3B","2910","$113,000","1","1","0","Carmelclay","VILLAGE OF WESTCLAY","0","1LEVL","OTHER","","766","No","766","11","ECOR01"
