"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21751760","Active","SFD","338 E Michigan St","3001","$255,000","3","2","1","MtVernon","CENTRAL","0","2LEVL","OTHER","4+","1,488","Yes","2,160","75","EXPL01"
"1","21752880","Active","SFD","6892 Birmingham Ave","3001","$270,729","4","2","0","MtVernon","Weavers Landing","0","1LEVL","ATTACH","2","1,603","No","1,603","69","HMSR01"
"1","21755897","Active","SFD","6691 N Laredo Dr","3001","$270,849","4","2","1","MtVernon","Weavers Landing","0","2LEVL","ATTACH","2","2,118","No","2,118","32","HMSR01"
"1","21757877","Active","SFD","6881 Birmingham Ave","3001","$285,520","3","2","0","MtVernon","Weavers Landing","0","1LEVL","ATTACH","2","1,942","No","1,942","38","HMSR01"
"1","21756566","Active","SFD","6899 Birmingham Ave","3001","$286,460","4","2","1","MtVernon","Weavers Landing","0","2LEVL","ATTACH","2","2,234","No","2,234","48","HMSR01"
"1","21735692","Active","SFD","302 S Mccarty St","3001","$291,434","3","2","0","MtVernon","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,801","No","1,801","150","CESC04"
"1","21744853","Active","SFD","6792 Birmingham Ave","3001","$294,630","4","2","1","MtVernon","Weavers Landing","0","2LEVL","ATTACH","2","2,404","No","2,404","109","HMSR01"
"1","21755901","Active","SFD","6677 N Laredo Dr","3001","$299,028","3","2","0","MtVernon","Weavers Landing","0","1LEVL","ATTACH","2","1,942","No","1,942","53","HMSR01"
"1","21746854","Active","SFD","6658 Aberdeen Ave","3001","$299,272","4","2","1","MtVernon","Weavers Landing","0","2LEVL","ATTACH","2","2,403","No","2,403","97","HMSR01"
"1","21749772","Active","SFD","5543 W Woodhammer Trl","3001","$309,000","4","2","1","MtVernon","WOODHAVEN","0","2LEVL","ATTACH","3","1,997","No","1,997","87","HMSR01"
"1","21743541","Active","SFD","8782 Blackburn St","3001","$309,900","4","2","1","MtVernon","MT. VERNON NORTH","0","2LEVL","ATTACH","2","2,234","No","2,234","117","HMSR01"
"1","21746829","Active","SFD","6615 Aberdeen Dr","3001","$310,460","4","2","1","MtVernon","Weavers Landing","0","2LEVL","ATTACH","2","2,234","No","2,234","97","HMSR01"
"1","21748511","Active","SFD","1847 Beyers St","3001","$334,885","4","2","1","MtVernon","MT. VERNON NORTH","0","2LEVL","ATTACH","2","2,404","No","2,404","94","HMSR01"
"1","21749521","Active","SFD","6387 W Cedar Chase Dr","3001","$338,000","3","3","0","MtVernon","VILLAGES AT BROOKSIDE","1","2LEVL","ATTACH","2","2,099","No","2,099","88","HMSR01"
"1","21732958","Active","SFD","121 Saundra Dr","3001","$344,990","3","2","0","MtVernon","BLOSSOM TRACE","1","1LEVL","ATTACH","3","2,000","No","2,000","159","CARP08"
"1","21750898","Active","SFD","5298 Chambers Ct","3001","$344,995","3","2","0","MtVernon","MCCORD POINTE","1","1LEVL","ATTACH","2","2,092","No","2,092","80","CESC01"
"1","21758247","Active","SFD","1835 Beyers St","3001","$346,165","3","2","0","MtVernon","MT. VERNON NORTH","0","1LEVL","ATTACH","2","1,942","No","1,942","33","HMSR01"
"1","21749329","Active","SFD","6457 W Clearview Dr","3001","$349,500","3","2","1","MtVernon","VILLAGES AT BROOKSIDE","0","2LEVL","ATTACH","2","2,508","No","2,508","81","KWIN04"
"1","21756011","Active","SFD","9686 Ridgecrest Ln","3001","$352,675","4","2","1","MtVernon","MCCORD POINTE","1","2LEVL","ATTACH","2","2,533","No","2,533","52","CESC01"
"1","21746030","Active","SFD","8766 Blackburn St","3001","$365,214","4","3","1","MtVernon","MT. VERNON NORTH","0","2LEVL","ATTACH","2","3,081","No","3,081","102","HMSR01"
"1","21752010","Active","SFD","5267 Chambers Ct","3001","$367,185","3","2","1","MtVernon","MCCORD POINTE","0","1LEVL","ATTACH","2","2,230","No","2,230","73","CESC01"
"1","21754148","Active","SFD","9701 Ridgecrest Ln","3001","$381,370","4","2","1","MtVernon","MCCORD POINTE","1","2LEVL","ATTACH","3","3,154","No","3,154","66","CESC01"
"1","21757747","Active","SFD","9663 Ridgecrest Ln","3001","$399,165","5","3","1","MtVernon","MCCORD POINTE","0","2LEVL","ATTACH","3","3,704","No","3,704","39","CESC01"
"1","21756806","Active","SFD","9675 Ridgecrest Ln","3001","$409,865","5","4","1","MtVernon","MCCORD POINTE","0","2LEVL","ATTACH","3","3,315","No","3,315","45","CESC01"
"1","21755853","Active","SFD","6326 N Main St","3003","$18,000","4","1","0","EastHanck","WILLOW BRANCH","0","1HALF","NONE","","1,922","Yes","2,258","54","MCGA01"
"1","21758357","Active","SFD","8284 N State Road 109","3003","$359,900","3","2","0","EastHanck","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,480","Yes","2,332","30","LIFR01"
"1","21752164","Active","SFD","9777 E US 40","3004","$749,000","4","4","1","EastHanck","NO SUBDIVISION","1","1LOFT","ATTACH","3","3,274","Yes","5,710","70","TUCK07"
"1","21743222","Active","SFD","2173 Downey Ct","3005","$229,900","3","2","0","Grnfldcent","MERIDIAN NORTH AT SPRINGHURST","0","1LEVL","ATTACH","2","1,583","No","1,583","117","HMSR01"
"1","21743413","Active","SFD","2182 Downey Ct","3005","$238,900","3","2","0","Grnfldcent","MERIDIAN NORTH AT SPRINGHURST","0","1LEVL","ATTACH","2","1,583","No","1,583","79","HMSR01"
"1","21745176","Active","CND","1679 Walnut Trce","3005","$274,900","3","2","1","Grnfldcent","WALNUT WOOD","2","2LEVL","ATTACH","2","1,798","Yes","2,732","109","RERG01"
"1","21753128","Active","SFD","2454 E Hill Dr","3005","$349,900","3","2","1","Grnfldcent","HICKORY HILLS","1","3LEVL","ATTACH","2","2,369","Yes","3,130","68","HNOW01"
"1","21757441","Active","SFD","5240 N Sugar Hills Dr","3005","$379,900","3","2","0","Grnfldcent","SUGAR HILL","1","2LEVL","ATTACH,MULTI","4+","2,310","No","2,310","41","VEAR01"
"1","21749762","Active","SFD","1473 Gateway Ln","3005","$395,000","4","2","1","Grnfldcent","MEADOW AT SPRINGHURST","1","2LEVL","ATTACH","2","2,457","No","2,457","87","HMSR01"
"1","21745874","Active","SFD","1016/1022/1028 N State St","3005","$399,900","4","1","1","Grnfldcent","BOYD HIGH HOME","0","1LEVL","DETATCH","1","1,700","No","1,700","97","TUCK03"
"1","21732036","Active","SFD","366 Shadow Creek Pass","3005","$687,500","4","4","1","Grnfldcent","RIDGES OVER BRANDYWINE","1","2LEVL","ATTACH","3","3,926","Yes","6,172","142","RERG01"
"1","21746526","Active","SFD","913 N Meadows Ln","3006","$199,000","3","2","0","MtVernon","BUCK CREEK MEADOWS","1","1LEVL","ATTACH","2","1,398","No","1,398","75","CARP22"
"1","21752594","Active","SFD","3833 W 100 N","3006","$265,000","3","1","1","MtVernon","BUCK CREEK","1","1LEVL","ATTACH","2","1,440","No","1,440","70","FVST01"
"1","21752335","Active","SFD","3211 W Sharon Dr","3006","$265,000","3","2","0","MtVernon","SUGAR CREEK","0","1LEVL","ATTACH","2","1,428","No","1,428","73","FVST01"
"1","21752810","Active","SFD","12208 Sunrise Dr","3006","$334,500","4","2","1","MtVernon","VALLEY BROOK FARMS","1","2LEVL","ATTACH","2","3,025","No","3,025","69","RERG01"
"1","21750966","Active","SFD","6324 W US Highway 52","3007","$221,900","3","2","0","SthHancok","METES & BOUNDS","1","1LEVL","ATTACH","2","1,980","No","1,980","52","HNRL01"
"1","21745906","Active","SFD","7001 Lillian Pl","3007","$225,107","2","2","0","SthHancok","GRANTS CORNER","0","1LEVL","ATTACH","2","1,615","No","1,615","103","TUCK02"
"1","21745910","Active","SFD","904 S Windhaven Ct","3007","$292,550","3","2","1","SthHancok","WINDHAVEN AT THE HAVENS","1","2LEVL","ATTACH","2","2,118","No","2,118","103","RERG01"
"1","21755537","Active","SFD","4600 W Tradwell Dr","3007","$318,081","4","2","1","SthHancok","STONE CROSSING","1","1LEVL","ATTACH","3","2,141","No","2,141","56","HMSR01"
"1","21745333","Active","SFD","3518 S Southway Dr","3007","$319,900","3","2","1","SthHancok","WILLOW GROVE","1","2LEVL","ATTACH","2","2,363","No","2,363","88","EXPL01"
"1","21721140","Active","SFD","192 Megan Way","3007","$320,052","4","2","1","SthHancok","GRANTS CORNER","0","2LEVL","ATTACH","2","2,511","No","2,511","206","TUCK02"
"1","21758297","Active","SFD","1902 S Centennial Ave","3007","$339,000","2","2","1","SthHancok","CENTENNIAL VILLAGE","1","1HALF","ATTACH","3","2,483","No","2,483","30","TRCL01"
"1","21755038","Active","SFD","3187 S Hume Rd","3007","$346,860","5","3","0","SthHancok","STONE CROSSING","1","2LEVL","ATTACH","3","3,078","No","3,078","61","HMSR01"
"1","21757543","Active","SFD","1396 S Fox Den Blvd","3007","$679,900","5","4","1","SthHancok","FOX COVE","2","1LEVL","ATTACH,MULTI","4+","3,398","Yes","5,936","38","TUCK02"
"1","21716921","Active","SFD","3403 S Overlook Pass","3007","$949,000","5","4","1","SthHancok","THE OVERLOOK","1","2LEVL","ATTACH","3","3,806","Yes","6,051","223","YZGR01"
"1","21757423","Pend","SFD","8661 N Crestview","3001","$210,000","3","2","0","MtVernon","EMERALD SPRINGS","0","1LEVL","ATTACH","2","1,511","No","1,511","2","TUCK07"
"1","21757370","Pend","SFD","6594 W Dickens Xing","3001","$235,000","3","2","1","MtVernon","GATEWAY CROSSING","1","2LEVL","ATTACH","2","2,197","No","2,197","2","IHRC01"
"1","21750281","Pend","SFD","8836 N White Tail Trl","3001","$250,000","4","2","1","MtVernon","DEER CROSSING","1","2LEVL","ATTACH","2","2,320","No","2,320","22","KWIN05"
"1","21755885","Pend","SFD","6776 Birmingham Ave","3001","$265,365","3","2","0","MtVernon","Weavers Landing","0","1LEVL","ATTACH","2","1,603","No","1,603","29","HMSR01"
"1","21746823","Pend","SFD","6875 Birmingham Ave","3001","$268,592","4","2","1","MtVernon","Weavers Landing","0","2LEVL","ATTACH","2","2,118","No","2,118","44","HMSR01"
"1","21758453","Pend","SFD","5494 W Woodhaven Dr","3001","$271,814","3","2","1","MtVernon","WOODHAVEN","0","2LEVL","ATTACH","2","1,997","No","1,997","2","HMSR01"
"1","21746648","Pend","SFD","6631 Aberdeen Dr","3001","$276,592","4","2","1","MtVernon","Weavers Landing","0","2LEVL","ATTACH","2","2,118","No","2,118","22","HMSR01"
"1","21739508","Pend","SFD","6632 Laredo Dr","3001","$285,667","4","2","1","MtVernon","Weavers Landing","0","2LEVL","ATTACH","2","2,234","No","2,234","105","HMSR01"
"1","21751978","Pend","SFD","6303 N Woodbury Dr","3001","$291,251","4","2","1","MtVernon","WOODHAVEN","0","2LEVL","ATTACH","2","2,973","No","2,973","2","HMSR01"
"1","21749804","Pend","SFD","5528 N Woodside Ct","3001","$292,000","4","2","1","MtVernon","WOODHAVEN","0","2LEVL","ATTACH","2","2,274","No","2,274","33","HMSR01"
"1","21739702","Pend","SFD","8689 N Dresden Dr","3001","$298,000","4","2","1","MtVernon","VILLAGES AT BROOKSIDE","0","2LEVL","ATTACH","2","3,038","No","3,038","33","SCBA01"
"1","21742295","Pend","SFD","6690 Eagles Nest Ln","3001","$301,496","3","2","0","MtVernon","VILLAGES AT BROOKSIDE","1","1LEVL","ATTACH","2","1,809","No","1,809","4","HMSR01"
"1","21751014","Pend","SFD","5517 Wood Spring Ln","3001","$310,316","3","2","0","MtVernon","WOODHAVEN","1","1LEVL","ATTACH","2","1,643","Yes","3,274","4","HMSR01"
"1","21745705","Pend","SFD","8710 N Brookside Blvd","3001","$315,554","3","2","0","MtVernon","VILLAGES AT BROOKSIDE","0","1LEVL","ATTACH","2","1,960","No","1,960","2","HMSR01"
"1","21750620","Pend","SFD","401 Thomas Point Dr","3001","$319,990","3","2","1","MtVernon","Park Creek","0","2LEVL","ATTACH","2","2,243","No","2,243","37","CARP08"
"1","21752857","Pend","SFD","6906 Birmingham Ave","3001","$320,950","4","3","1","MtVernon","Weavers Landing","0","2LEVL","ATTACH","2","3,081","No","3,081","8","HMSR01"
"1","21746010","Pend","SFD","212 Park Creek Ln","3001","$329,990","4","2","1","MtVernon","Park Creek","1","2LEVL","ATTACH","2","2,394","No","2,394","17","EZST01"
"1","21757426","Pend","SFD","6665 Eagles Nest Ln","3001","$356,510","2","2","0","MtVernon","VILLAGES AT BROOKSIDE","1","1LEVL","ATTACH","2","1,809","No","1,809","2","HMSR01"
"1","21750902","Pend","SFD","9710 Ridgecrest Ln","3001","$359,995","4","2","1","MtVernon","MCCORD POINTE","1","2LEVL","ATTACH","3","2,988","No","2,988","45","CESC01"
"1","21745665","Pend","SFD","8368 Treeline Ln","3001","$366,008","3","2","0","MtVernon","VILLAGES AT BROOKSIDE","0","1LEVL","ATTACH","2","2,073","Yes","4,148","2","HMSR01"
"1","21742986","Pend","SFD","5266 Chambers Ct","3001","$370,585","3","3","0","MtVernon","MCCORD POINTE","0","1LEVL","ATTACH","2","2,225","No","2,225","1","CESC01"
"1","21748414","Pend","SFD","8301 Eagles Nest Ln","3001","$387,816","4","2","1","MtVernon","VILLAGES AT BROOKSIDE","1","2LEVL","ATTACH","2","2,784","No","2,784","4","HMSR01"
