MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21646745,,Residential,Single Fam,,Willow,Peter Stewart,,3222000,2999900,2019-06-17,,,
21630016,,Residential,Single Fam,,Fitch,David Barker,,175000,175000,2019-03-30,2019-09-30,F.C. Tucker Company,Michelle Shepherd
21662159,,Residential,Single Fam,,Pheasant,John O'Brien,Mary Jane O'Brien,185000,185000,2019-08-15,2019-11-15,F.C. Tucker Company,Michelle Shepherd
21666133,,Residential,Condo,,Roanoke,Joseph W Cirillo,,185000,185000,2019-09-04,2020-01-01,Encore Sotheby's International,Sheri R. Putman
21641315,,Residential,Condo,,DOMINION DR,Pam Potoczek,,184900,184900,2019-05-17,2019-11-30,"eXp Realty, LLC",Pam Potoczek
21638960,,Residential,Single Fam,,LAKEVIEW,Scott A. Lindsay,,173900,173900,2019-05-09,2019-11-09,F.C. Tucker Company,Cindy Starks
21668819,,Residential,Condo,,Roanoke,Cindy Starks,,189000,184900,2019-09-25,2019-12-25,Berkshire Hathaway Home,Jerry J. Alexander
21643112,,Residential,Condo,,Norfolk,Lisa Antonacci,,185000,185000,2019-05-31,2019-11-29,F.C. Tucker Company,Mark A. Lopez
21639542,,Residential,Single Fam,,WIMBLEDON,Barbara Wood,,179900,179900,2019-05-09,2019-11-09,Keller Williams Indy Metro S,James M. Robertson
21673207,,Residential,Condo,,Dominion,Gina Becovitz,,184900,184900,2019-10-04,2020-04-01,F.C. Tucker Company,Gina Becovitz
21675817,,Residential,Single Fam,,Pickwick,James Embry,,182900,182900,2019-10-23,2020-04-23,"Carpenter, REALTORS®",Amy Englert
21625486,,Residential,Single Fam,,875,Jared Nelson,Justin Wade,215000,190000,2019-03-06,2019-09-05,F.C. Tucker Company,Will E. Lonnemann
21640073,,Residential,Single Fam,,AMHERST,Lynda Lambert,John W. Bradley,189900,189900,2019-05-14,2019-11-11,RSW HOMES LLC,Andres Rodriguez
21671607,,Residential,Condo,,Dominion,Michelle Shepherd,,199900,199900,2019-09-27,2020-03-27,CENTURY 21 Scheetz,Gary Angstadt
21630370,,Residential,Condo,,Riley,Jeffrey Sheets,,200000,200000,2019-04-02,2019-10-02,F.C. Tucker Company,Joe A. Spate
21670016,,Residential,Condo,,Richmond,Morgan Lathery,Douglas E Lathery,195000,195000,2019-09-19,2020-02-17,F.C. Tucker Company,Cindy Starks
21652444,,Residential,Single Fam,,Wimbledon,Joshua Vida,,209900,204900,2019-07-03,2020-01-03,Berkshire Hathaway Home,Elizabeth Richardson
21656607,,Residential,Single Fam,,Ford,Richard Collier,,209900,209900,2019-07-24,2019-12-24,"Carpenter, REALTORS®",Megan Deck
21650841,,Residential,Single Fam,,Eaglewood,Janet Stitt,,229900,209900,2019-06-26,2019-12-26,CENTURY 21 Scheetz,Mark J. Branch
21647649,,Residential,Single Fam,,SADDLETREE DR,Debra Wilson,Jeffrey R. Wilson,205000,205000,2019-06-17,2019-12-17,Redfin Corporation,Ryan M. Schramke
21641976,,Residential,Condo,,Kelso,Jim L. Finefrock II,,210000,210000,2019-05-21,2019-10-31,States First Realty,Michelle Yi
21653489,,Residential,Condo,,Kelso,Diana Elmore,,217999,214990,2019-07-10,2019-10-10,CENTURY 21 Scheetz,Laura H. Heigl
21640506,,Residential,Single Fam,,Lakeview,Sarah R. Lukemeyer,,209000,209000,2019-05-14,2019-11-14,RE/MAX Ability Plus,Libby Cyman
21676145,,Residential,Single Fam,,BERKSHIRE,John Carnell,,219000,219000,2019-10-24,2020-05-30,F.C. Tucker Company,Rita Taylor
21647530,,Residential,Single Fam,,Amherst,Marianne Walker,Keri Schuster,220000,220000,2019-06-14,2019-12-15,F.C. Tucker Company,Keri Schuster
21594867,,Residential,Single Fam,,Poplar,Larry Rasmussen,,235000,225000,2018-09-12,2019-11-29,CENTURY 21 Rasmussen Company,Larry Rasmussen
21592470,,Residential,Single Fam,,Zion,Linda Burton,,239999,229999,2018-08-27,2019-09-30,F.C. Tucker Company,Todd Ferris
21640841,,Residential,Single Fam,,Lancaster,Pam Jones,,221900,221900,2019-06-14,2019-09-30,CENTURY 21 Scheetz,Mandy Keller
21651975,,Residential,Condo,,Kelso,Elizabeth Foley,,217500,217500,2019-07-02,2019-10-02,F.C. Tucker Company,Pegg Kennedy
21648183,,Residential,Single Fam,,GLENWOOD TRACE,Bradford Elliott,,225000,225000,2019-06-20,2019-12-20,Keller Williams Zionsville,David F. Harting
21638165,,Residential,Single Fam,,BRIARGATE,Jennifer Rumbaoa,,225000,225000,2019-05-03,2019-11-03,F.C. Tucker Company,Nicole Gardner
21641353,,Residential,Single Fam,,Lancaster,Jason F. Hemmerling,,215000,215000,2019-05-17,2019-11-18,States First Realty,Michelle Yi
21666011,,Residential,Condo,,Central,Clayton Gittus,,235000,235000,2019-09-05,2019-11-30,RE/MAX Advanced Realty,Jun Liu
21675059,,Residential,Single Fam,,2ND ST,Matthew Reffeitt,Kristin Spiegel,215000,215000,2019-10-14,2019-11-14,F.C. Tucker Company,Linda S. Wilcox
21640826,,Residential,Single Fam,,Whitestown,Mark A. Lopez,Louise C. Bergmann,225000,225000,2019-05-16,2019-11-16,"eXp Realty, LLC",Rodney W. Heard
21644971,,Residential,Single Fam,,Amherst,J Anthony English,,217400,217400,2019-06-06,2019-11-06,"Costlow Real Estate, Inc.",Curtis E. Costlow
21662671,,Residential,Condo,,Riley,Sarah Huff,Patti Haney Richey,232000,232000,2019-10-04,2020-04-04,Keller Williams Indy Metro NE,Kimberly R. Walsh
21661259,,Residential,Single Fam,,Saddletree,Denise Fiore,Katie Hintz,229900,229900,2019-08-13,2020-02-12,"HomeXpert, Ray Stuck & Co.",Ray Stuck
21650487,,Residential,Single Fam,,400,James Embry,,247500,239900,2019-07-02,2020-01-02,F.C. Tucker Company,Tracy Ridings
