"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21684064","Active","SFD","6887 Ben Riley Ct","3206","$314,900","3","2","1","Plainfield","BRIDLEWOOD RESERVE","1","1LEVL","ATTACH","3","2,261","No","2,261","424","HMSR01"
"1","21632682","S","SFD","7523 N State Road 267","3201","$118,000","3","2","0","Brownsburg","NORTHERN ACRES","0","1LEVL","ATTACH","2","1,628","Yes","2,442","5","REAR01"
"1","21679189","S","SFD","7740 BURNS Dr","3201","$131,000","3","2","0","Brownsburg","BURNS HIGHLAND ACRES","1","1LEVL","ATTACH","2","1,296","No","1,296","5","HRHL01"
"1","21658170","S","CND","1198 Brittany Cir","3201","$147,000","3","2","0","Brownsburg","WHITTINGTON VILLAGE","1","1LEVL","ATTACH","2","1,567","No","1,567","1","KWIN05"
"1","21633563","S","CND","3 Muirfield Ct","3201","$147,000","3","2","0","Brownsburg","WHITTINGTON VILLAGE","0","1LEVL","ATTACH","2","1,532","No","1,532","2","CARP12"
"1","21651239","S","SFD","740 Rose Ln","3201","$155,900","3","2","0","Brownsburg","WHITTINGTON ESTATES","1","1LEVL","ATTACH","2","1,316","No","1,316","3","HEFL01"
"1","21665377","S","SFD","744 Kingston Cir","3201","$160,000","3","2","1","Brownsburg","WHITTINGTON VILLAGE","1","2LEVL","ATTACH","2","1,824","No","1,824","9","ERAT01"
"1","21652118","S","SFD","1472 Audubon Dr","3201","$160,900","3","2","0","Brownsburg","WHITTINGTON ESTATES","1","1LEVL","ATTACH","2","1,574","No","1,574","4","HSPG01"
"1","21655847","S","SFD","725 Muirfield Dr","3201","$161,000","3","2","1","Brownsburg","WHITTINGTON VILLAGE","0","2LEVL","ATTACH","2","1,840","No","1,840","6","EXPL01"
"1","21637610","S","SFD","8 Eastbranch","3201","$161,000","3","2","0","Brownsburg","WINDING CREEK","0","1LEVL","ATTACH","2","1,420","No","1,420","4","EXPL01"
"1","21679008","S","SFD","1410 AUBURN","3201","$170,000","3","2","1","Brownsburg","WHITTINGTON ESTATES","1","2LEVL","ATTACH","2","1,614","No","1,614","3","REAB08"
"1","21636144","S","SFD","1271 Highland Lake Way","3201","$170,000","3","2","0","Brownsburg","LAKE RIDGE","1","1LEVL","ATTACH","2","1,633","No","1,633","1","TUCK04"
"1","21653880","S","SFD","739 Woodcote Ln","3201","$175,000","3","2","0","Brownsburg","WHITTINGTON ESTATES","1","1LEVL","ATTACH","2","1,572","No","1,572","5","KWIN04"
"1","21646948","S","SFD","129 Brooks Bend","3201","$179,900","3","2","0","Brownsburg","WINDING CREEK","1","1LEVL","ATTACH","2","1,400","No","1,400","1","KWIN04"
"1","21684191","S","SFD","3 West Branch","3201","$180,000","3","2","0","Brownsburg","WINDING CREEK","1","1LEVL","ATTACH","2","1,636","No","1,636","1","NBLC01"
"1","21678947","S","SFD","152 Trails End","3201","$180,000","3","2","0","Brownsburg","WINDING CREEK","1","1LEVL","ATTACH","2","1,667","No","1,667","2","CSRG04"
"1","21672966","S","SFD","6737 Branches Dr","3201","$184,000","3","2","1","Brownsburg","BRANCHES","0","2LEVL","ATTACH","2","1,666","No","1,666","15","TIHD01"
"1","21652196","S","SFD","7698 Burns Dr","3201","$184,000","3","1","1","Brownsburg","BURNS HIGHLAND ACRES","1","1LEVL","ATTACH","2","1,768","No","1,768","24","CPRM01"
"1","21671324","S","SFD","6267 Warren Ln","3201","$185,000","3","2","0","Brownsburg","ROLLING ACRES","1","1LEVL","ATTACH","2","1,856","No","1,856","22","REAB08"
"1","21640852","S","SFD","1466 AUBURN Dr","3201","$185,000","4","2","0","Brownsburg","WHITTINGTON ESTATES","1","1LEVL","ATTACH","2","1,848","No","1,848","0","REAR01"
"1","21622566","S","SFD","19 East Branch","3201","$185,500","4","2","1","Brownsburg","WINDING CREEK","1","2LEVL","ATTACH","2","1,907","No","1,907","9","WALL01"
"1","21683905","S","SFD","757 KINGSTON Cir","3201","$187,200","4","2","1","Brownsburg","WHITTINGTON VILLAGE","1","2LEVL","ATTACH","2","2,250","No","2,250","10","ISPM01"
"1","21650612","S","SFD","742 Hawthorne Ln","3201","$188,000","3","2","1","Brownsburg","WHITTINGTON ESTATES","1","1HALF","ATTACH","2","1,513","No","1,513","2","JPXR01"
"1","21634855","S","SFD","731 HAWTHORNE Ln","3201","$188,000","3","2","1","Brownsburg","WHITTINGTON ESTATES","0","2LEVL","ATTACH","2","1,987","No","1,987","30","TUCK04"
"1","21645679","S","SFD","701 Summersby Ln","3201","$190,000","3","2","1","Brownsburg","WHITTINGTON ESTATES","1","2LEVL","ATTACH","2","1,795","No","1,795","11","FTRE02"
"1","21646636","S","SFD","1250 Auburn Dr","3201","$191,000","3","2","1","Brownsburg","WHITTINGTON ESTATES","1","1HALF","ATTACH","2","1,824","No","1,824","2","CARP12"
"1","21647299","S","SFD","750 Chestnut Ln","3201","$192,000","3","2","1","Brownsburg","WHITTINGTON ESTATES","0","2LEVL","ATTACH","2","1,928","No","1,928","5","TUCK06"
"1","21646304","S","SFD","1185 RIVER RIDGE Dr","3201","$192,000","3","2","1","Brownsburg","LAKE RIDGE","1","2LEVL","ATTACH","2","1,729","No","1,729","3","REAB08"
"1","21664656","S","SFD","6774 Weil Dr","3201","$192,500","3","2","0","Brownsburg","NORTHWOOD","0","1LEVL","ATTACH","2","1,393","No","1,393","5","CSRG04"
"1","21662410","S","SFD","238 Brooks Bend","3201","$194,000","3","2","0","Brownsburg","WINDING CREEK","0","1LEVL","ATTACH","2","1,693","No","1,693","2","RISE01"
"1","21646894","S","SFD","1317 River Ridge Dr","3201","$195,000","4","2","0","Brownsburg","LAKE RIDGE","1","1HALF","ATTACH","2","1,912","No","1,912","8","KWIN04"
"1","21650699","S","SFD","6975 WEIL Dr","3201","$197,000","3","2","0","Brownsburg","NORTHWOOD","1","1LEVL","ATTACH","2","1,671","No","1,671","14","WALL01"
"1","21631459","S","SFD","10310 HOMESTEAD Dr","3201","$198,000","3","2","1","Brownsburg","BRANCHES","1","2LEVL","ATTACH","2","2,327","No","2,327","15","WHIT01"
"1","21656551","S","SFD","6748 Branches Dr","3201","$199,800","3","2","1","Brownsburg","BRANCHES","0","2LEVL","ATTACH","2","1,800","No","1,800","2","URE 01"
"1","21658432","S","SFD","153 Brooks Bend","3201","$200,000","4","2","0","Brownsburg","WINDING CREEK","1","1LEVL","ATTACH","2","1,788","No","1,788","4","CARP12"
"1","21654179","S","SFD","10336 Crooked Stick Dr","3201","$200,000","3","2","0","Brownsburg","BRANCHES","0","1LEVL","ATTACH","2","2,152","No","2,152","6","KWIN05"
"1","21653476","S","SFD","930 Nature Lake Cir","3201","$200,000","3","2","0","Brownsburg","LAKE RIDGE","1","1LEVL","ATTACH","2","2,050","No","2,050","34","KLPI01"
"1","21658699","S","SFD","1573 Winding Creek Trl","3201","$201,325","4","2","1","Brownsburg","WINDING CREEK","0","2LEVL","ATTACH","2","1,836","No","1,836","10","SIML01"
"1","21661839","S","SFD","1562 Winding Creek Trl","3201","$201,400","4","2","1","Brownsburg","WINDING CREEK","1","2LEVL","ATTACH","2","1,851","No","1,851","2","KWIN01"
"1","21681083","S","SFD","137 Valley Cir","3201","$202,300","4","2","1","Brownsburg","WINDING CREEK","1","2LEVL","ATTACH","2","2,072","No","2,072","3","CSRG01"
"1","21610494","S","SFD","9630 N State Road 267","3201","$205,000","3","1","1","Brownsburg","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,824","No","1,824","136","TUCK07"
"1","21666474","S","SFD","1242 Summer Ridge Ln","3201","$215,000","4","2","1","Brownsburg","LAKE RIDGE","1","2LEVL","BUILTIN","2","2,160","Yes","2,703","7","PDIG01"
"1","21642545","S","SFD","767 Hawthorne Ln","3201","$215,000","3","2","1","Brownsburg","WHITTINGTON ESTATES","1","2LEVL","ATTACH","3","1,960","No","1,960","8","ERCK01"
"1","21661945","S","SFD","6736 Branches Dr","3201","$218,000","3","2","1","Brownsburg","BRANCHES","0","2LEVL","ATTACH","2","1,952","No","1,952","5","RESL01"
"1","21661668","S","SFD","1293 RIVER RIDGE Dr","3201","$221,850","4","2","1","Brownsburg","LAKE RIDGE","0","2LEVL","ATTACH","2","2,765","No","2,765","37","TUCK04"
"1","21653927","S","SFD","7555 Kathy Dr","3201","$223,500","3","2","1","Brownsburg","NORTHERN ACRES","1","MULTI","ATTACH","2","2,028","No","2,028","102","CSRG04"
"1","21664738","S","SFD","63 CARRIAGE LAKE Dr","3201","$224,000","4","2","1","Brownsburg","GREEN STREET VILLAGE","1","2LEVL","ATTACH","2","1,738","No","1,738","61","BHHS01"
"1","21672037","S","SFD","1555 Arbor Springs Dr","3201","$225,000","3","2","1","Brownsburg","GREEN STREET VILLAGE","0","2LEVL","ATTACH","2","2,190","Yes","3,087","2","CARP30"
