"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1501","21739342","S","CND","9030 MERCER Dr","2911","$249,900","3","2","1","HamltSe","PRINCETON WOODS","0","3LEVL","ATTACH","2","2,268","No","2,268","8","EXPL01"
"1501","21736380","S","CND","9006 MERCER Dr","2911","$249,900","3","2","2","HamltSe","PRINCETON WOODS","1","3LEVL","ATTACH","2","2,232","No","2,232","8","TUCK03"
"1501","21739325","S","SFD","9215 Crossing Dr","2911","$250,000","3","2","1","HamltSe","DELAWARE CROSSING","0","2LEVL","ATTACH","2","1,764","No","1,764","3","EXPL01"
"1501","21739086","S","CND","11121 COURTYARD Way","2911","$250,000","3","2","0","HamltSe","COURTYARD LAKES","1","1LEVL","ATTACH","2","1,673","No","1,673","2","CARP20"
"1501","21738734","S","CND","9055 Rider Dr","2911","$250,000","3","3","1","HamltSe","PRINCETON WOODS","1","3LEVL","ATTACH","2","1,608","Yes","2,562","24","BALD01"
"1501","21736407","S","SFD","12388 Torberg Pl","2911","$250,000","3","2","1","HamltSe","SUNBLEST FARMS","1","2LEVL","ATTACH","2","2,020","No","2,020","2","TUCK07"
"1501","21721449","S","SFD","10731 Sheffield Ct","2911","$250,000","4","2","1","HamltSe","NORTHFIELD ESTATES","1","2LEVL","ATTACH","2","1,848","No","1,848","4","KWIN05"
"1501","21754385","S","SFD","11392 Wilderness Trl","2911","$251,000","3","2","0","HamltSe","WILDWOOD ESTATES","0","1LEVL","ATTACH","2","1,500","No","1,500","3","TUCK06"
"1501","21753077","S","SFD","8355 Carthay Cir","2911","$251,000","3","2","0","HamltSe","LYNNWOOD HILLS","1","1LEVL","ATTACH","2","1,498","No","1,498","7","TUCK03"
"1501","21720744","S","SFD","14576 Lansing Pl","2911","$251,000","4","2","1","HamltSe","WEAVER CREEK","1","2LEVL","ATTACH","2","2,144","Yes","2,744","18","TUCK10"
"1501","21715764","S","SFD","11460 Wilmington Cir","2911","$251,000","3","2","1","HamltSe","CHARLESTON CROSSING","1","2LEVL","ATTACH","2","1,786","No","1,786","1","EXPL01"
"1501","21752456","S","SFD","12576 Ensley Dr","2911","$252,000","3","2","0","HamltSe","SUNBLEST FARMS","1","1LEVL","ATTACH","2","1,664","Yes","2,472","2","TUCK06"
"1501","21723157","S","SFD","11417 Charleston Pkwy","2911","$252,000","3","2","1","HamltSe","CHARLESTON CROSSING","1","2LEVL","ATTACH","2","1,798","No","1,798","5","TUCK14"
"1501","21747086","S","SFD","7932 Turkel Dr","2911","$252,017","3","2","0","HamltSe","SUNBLEST FARMS","1","1LEVL","ATTACH","2","1,348","No","1,348","3","TUCK03"
"1501","21748399","S","SFD","9705 Shasta Dr","2911","$253,000","3","2","1","HamltSe","INDIGO LAKE","1","2LEVL","ATTACH,BUILTIN","2","1,726","No","1,726","7","KWIN05"
"1501","21731757","S","SFD","7704 CREEKSIDE Dr","2911","$253,000","4","2","1","HamltSe","SUNBLEST FARMS","1","2LEVL","ATTACH","2","2,065","No","2,065","19","CESC09"
"1501","21706949","S","CND","11437 Mossy Ct Unit#102","2911","$253,370","2","2","0","HamltSe","HIGHPOINT RIDGE","1","1LOFT","BUILTIN","2","1,780","No","1,780","91","MERC01"
"1501","21724673","S","SFD","13861 Wyandotte Pl","2911","$254,000","3","2","0","HamltSe","HARRISON GREEN","0","1HALF","ATTACH","2","2,142","No","2,142","25","CESC01"
"1501","21723854","S","SFD","12511 Saksons Blvd","2911","$254,000","3","2","0","HamltSe","SUNBLEST FARMS","0","1LEVL","ATTACH","2","1,434","No","1,434","4","TUCK10"
"1501","21742003","S","CND","8205 Dan Allen Dr","2911","$255,000","3","3","1","HamltSe","TOWNHOMES AT FISHERS POINTE","1","3LEVL","ATTACH","2","2,466","Yes","2,466","3","CITY01"
"1501","21737428","S","CND","13062 Raritan Dr","2911","$255,000","3","3","1","HamltSe","PRINCETON WOODS","0","3LEVL","ATTACH","2","1,658","Yes","2,058","9","PURS01"
"1501","21724735","S","SFD","9610 Wickland Ct","2911","$255,000","3","2","1","HamltSe","LANTERN PINES","1","2LEVL","ATTACH","2","2,384","No","2,384","2","RRSE01"
"1501","21720856","S","SFD","8458 Ardennes Dr","2911","$255,000","4","2","1","HamltSe","CONNER KNOLL","1","2LEVL","ATTACH","2","2,104","No","2,104","33","DURH01"
"1501","21728235","S","SFD","6273 Hanover Ct","2911","$256,500","2","2","0","HamComm","HARVARD PARK","1","1LEVL","ATTACH","2","1,586","No","1,586","1","KWIN04"
"1501","21730962","S","SFD","13426 Ravenswood Trl","2911","$257,500","2","2","0","HamltSe","BRITTON FALLS","0","1LEVL","ATTACH","2","1,512","No","1,512","14","CESC01"
"1501","21744451","S","SFD","10431 Ridgeview Cir","2911","$258,000","2","2","1","HamltSe","ELLER RUN","1","2LEVL","ATTACH","2","1,854","No","1,854","7","KWIN01"
"1501","21725998","S","SFD","6125 Bristlecone Dr","2911","$259,000","3","2","1","HamltSe","ELLER TRAILS","1","2LEVL","ATTACH","2","2,178","No","2,178","1","BHHS02"
"1501","21748433","S","SFD","8938 Tanner Dr","2911","$260,000","3","2","1","HamltSe","SUNBLEST FARMS","1","2LEVL","ATTACH","2","1,780","No","1,780","3","KWIN05"
"1501","21743209","S","SFD","10508 Pineview Cir","2911","$260,000","3","2","1","HamltSe","ELLER RUN","1","2LEVL","ATTACH","2","2,134","No","2,134","5","RERG01"
"1501","21742920","S","CND","11210 Red Fox Run Unit#D","2911","$260,000","3","2","0","HamltSe","WATERFORD GARDENS","1","1LEVL","ATTACH","2","1,700","No","1,700","10","BHHS05"
