MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21734971,,Residential,Single Fam,,Ballard,Damon Stafford,,250000,257500,2020-08-25,,,
21757755,,Residential,Single Fam,,Prelude,Jonathan Bell,Scott White,390840,390840,2020-12-18,,,
21745098,,Residential,Condo,,Quail Creek Tr N.,Robert R. Kiefer,,289900,289900,2020-10-09,,,
21755180,,Residential,Single Fam,,Woodridge,Jamie Hall,Lea K. Grove,415000,407900,2020-11-28,,,
21751918,,Residential,Single Fam,,County Road 1000,Lisa M. Reynolds,,1000000,935000,2020-11-12,,,
21754889,,Residential,Single Fam,,Heartland,Aaron Wheeler,,219990,219990,2020-11-24,,,
21757230,,Residential,Single Fam,,Hideaway,Christopher Schrader,,259500,259500,2020-12-14,,,
21757738,,Residential,Single Fam,,Collisi,Bradley A. Grant,,370570,370570,2020-12-18,,,
21757731,,Residential,Single Fam,,Collisi,Bradley A. Grant,,385570,385570,2020-12-18,,,
21734800,,Residential,Single Fam,,Main,Rich Boals,,229000,204900,2020-08-25,,,
21754765,,Residential,Single Fam,,Miller,Kudirat Oyesigi,,245000,245000,2020-11-24,,,
21734984,,Residential,Single Fam,,Hedley,Marie Edwards,,265713,259900,2020-08-25,,,
21731730,,Residential,Single Fam,,Hedley,Marie Edwards,,273173,264900,2020-08-13,,,
21739857,,Residential,Single Fam,,Lieven,Marie Edwards,,279482,267900,2020-09-18,,,
21739842,,Residential,Single Fam,,Lieven,Marie Edwards,,279945,269900,2020-09-18,,,
21732267,,Residential,Single Fam,,Hedley,Marie Edwards,,276709,269900,2020-08-17,,,
21731451,,Residential,Single Fam,,Hedley,Marie Edwards,,287268,274900,2020-08-12,,,
21754564,,Residential,Single Fam,,N. County Road 1050 E.,Beverly J. Harney,,290000,276000,2020-11-20,,,
21734368,,Residential,Single Fam,,Hedley,Marie Edwards,,284302,276900,2020-08-21,,,
21743569,,Residential,Single Fam,,Hedley,Marie Edwards,,291262,284900,2020-09-30,,,
21743738,,Residential,Single Fam,,Hedley,Marie Edwards,,294777,287900,2020-10-02,,,
21755013,,Residential,Single Fam,,Stone Trace,Christopher C. Schrader,,304900,304900,2020-11-25,,,
21757590,,Residential,Single Fam,,Stone Trace,Christopher Schrader,,310000,310000,2020-12-16,,,
