MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21744502,,Residential,Condo,,Easy Unit B,Valerie Vaughn,,255000,255000,2020-10-07,,,
21743726,,Residential,Condo,,Easy Unit A,Valerie Vaughn,,265000,259000,2020-10-02,,,
21757165,,Residential,Single Fam,,Clubhouse,Ri Khuma,,269900,269900,2020-12-13,,,
21754205,,Residential,Single Fam,,Mesa,Marie Edwards,,293695,293695,2020-11-19,,,
21756817,,Residential,Single Fam,,Napier,Fred Nelson,,297610,297610,2020-12-11,,,
21729959,,Residential,Single Fam,,Stones Crossing,Jeffrey Paxson,,340000,299900,2020-08-04,,,
21757389,,Residential,Single Fam,,Gallop,Angela Miller Brees,,314900,314900,2020-12-15,,,
21754829,,Residential,Single Fam,,Cobblestone,Connie S. Lindsay,,319990,319990,2020-11-24,,,
21752022,,Residential,Single Fam,,Albert,Fred Nelson,,326700,326700,2020-11-13,,,
21756690,,Residential,Single Fam,,Silver Creek,Bruce Richardson,,340000,329900,2020-12-09,,,
21756198,,Residential,Single Fam,,Peregrine,Cassie V. Newman,,331494,333494,2020-12-05,,,
21758626,,Residential,Single Fam,,Backstretch,Cassie V. Newman,,339620,339620,2020-12-29,,,
21756823,,Residential,Single Fam,,Napier,Fred Nelson,,340200,340200,2020-12-11,,,
21754193,,Residential,Single Fam,,Napier,Fred Nelson,,342700,342700,2020-11-19,,,
21752020,,Residential,Single Fam,,Napier,Fred Nelson,,342705,342705,2020-11-13,,,
21757751,,Residential,Single Fam,,Albert,Fred Nelson,,350105,350105,2020-12-18,,,
21755341,,Residential,Single Fam,,Maiden,Cassie V. Newman,,392655,358729,2020-11-30,,,
21734134,,Residential,Single Fam,,Brickert,Marie Edwards,,360723,359020,2020-08-20,,,
21756130,,Residential,Single Fam,,Napier,Fred Nelson,,360695,360695,2020-12-07,,,
21754215,,Residential,Single Fam,,Brickert,Marie Edwards,,369799,369799,2020-11-19,,,
21755166,,Residential,Single Fam,,Greensview,Vince Wall,,384900,369900,2020-11-27,,,
21755511,,Residential,Single Fam,,Brickert,Marie Edwards,,372368,372368,2020-11-30,,,
21755946,,Residential,Single Fam,,Harris,Marie Edwards,,403663,403663,2020-12-03,,,
21758885,,Residential,Single Fam,,Justify,Cassie V. Newman,,402830,404830,2020-12-31,,,
21754483,,Residential,Single Fam,,Hazy,Brenda Richards,,425900,409900,2020-11-20,,,
21754830,,Residential,Single Fam,,Rush,Marie Edwards,,414428,414428,2020-11-24,,,
21730890,,Residential,Single Fam,,Fox Moor,Andrew Neal,John Wright,430000,420000,2020-08-10,,,
21756051,,Residential,Single Fam,,Brickert,Marie Edwards,,425712,424900,2020-12-04,,,
21757540,,Residential,Condo,,Ashwood,Judith Ann Hoeping,,438500,438500,2020-12-15,,,
21725715,,Residential,Condo,,Hazelwood,Julie Norris,,509900,439900,2020-07-23,,,
21724913,,Residential,Single Fam,,Harness,Wendy McClellan,,484900,484900,2020-07-15,,,
21743313,,Residential,Single Fam,,Abbotsbury,Michelle Nichols,,575000,575000,2020-10-19,,,
21727899,,Residential,Single Fam,,Chartwell,Marie Edwards,,750000,699000,2020-07-24,,,
21724505,,Residential,Single Fam,,400,Daniel Frische,,1249000,1179000,2020-07-14,,,
21714981,,Residential,Single Fam,,Whiteland,Daniel Nichols,Trisha Benefield,1250000,1195000,2020-06-02,,,
21750245,,Residential,Single Fam,,Stone Ridge,Dana Carson,,1999000,1999000,2020-11-01,,,
21749666,,Residential,Condo,,Elmead,Angela Cox,,96500,84500,2020-10-30,,,
21753038,,Residential,Condo,,GREENWOOD,Sue Pegrim,,104900,99000,2020-11-20,,,
21750462,,Residential,Single Fam,,Maple,Laura Waters,Leyton Wellbaum,169900,163000,2020-11-06,,,
21750441,,Residential,Single Fam,,Beehler,Matthew Edens,,189900,196900,2020-11-03,,,
21744697,,Residential,Single Fam,,Flintlock,Rick Gard,,208000,204000,2020-10-07,,,
21758335,,Residential,Single Fam,,500,Deena Wilham,,210000,210000,2020-12-25,,,
21746122,,Residential,Single Fam,,Broadway,Keith Turnbill,,239000,239000,2020-10-13,,,
21757201,,Residential,Single Fam,,Harrier,Statia Runyan,,240000,240000,2020-12-14,,,
21752491,,Residential,Single Fam,,Padre,Rick E. Gard,,225000,243000,2020-11-16,,,
21742945,,Residential,Single Fam,,Main,Timothy O. Smart,Edwina Withers,265000,248000,2020-09-29,,,
21743448,,Residential,Condo,,Laurelwood,Colton Cassel,,255000,249900,2020-10-01,,,
21735112,,Residential,Single Fam,,Darrough,Marie Edwards,,265756,259900,2020-08-25,,,
21755302,,Residential,Single Fam,,Halfaker,Marie Edwards,,277083,277083,2020-11-30,,,
21735570,,Residential,Single Fam,,Wyndham,David Brenton,,375000,375000,2020-09-02,,,
21748946,,Residential,Single Fam,,US Highway 31,David J. Baird,,413890,413890,2020-10-26,,,
21752242,,Residential,Single Fam,,JEFFERSON,Katherine VanDeman,,119900,119900,2020-11-17,,,
21752256,,Residential,Single Fam,,Jefferson,Katherine VanDeman,,139900,139900,2020-11-17,,,
21752306,,Residential,Single Fam,,Churchill,Bruce Richardson,,159000,159000,2020-11-13,,,
21757361,,Residential,Single Fam,,King,Sarah Milner,,175000,172000,2020-12-15,,,
21754264,,Residential,Single Fam,,Johnson,Dawn Arnold,,215000,175000,2020-11-23,,,
21759036,,Residential,Single Fam,,Home,Sarah Milner,,259000,255000,2020-12-31,,,
21757021,,Residential,Single Fam,,Branigin,P. Steve Burkett,,349900,344900,2020-12-11,,,
21736755,,Residential,Single Fam,,Hougland,Donna Zelner,,150000,99000,2020-09-03,,,
21735196,,Residential,Single Fam,,Sobota,Constance Schultz-Heinz,,229990,262990,2020-08-26,,,
21723868,,Residential,Single Fam,,Peoga,Donald Wilder,,800000,800000,2020-07-09,,,
21739504,,Residential,Single Fam,,475,Damian Murphy,,1100000,999000,2020-09-18,,,
21758061,,Residential,Single Fam,,Old Smith Valley,Bob Collins,,150000,150000,2020-12-21,,"Bruce Richardson Realty, LLC",Bruce Richardson
21754800,,Residential,Single Fam,,Thornwood,Jake R. Stiles,,200000,200000,2020-11-25,,F.C. Tucker Company,Mandy Sheckles
21757736,,Residential,Single Fam,,Blake,Coleen Casper,,235000,235000,2020-12-17,,United Real Estate Indpls,Lesa Furman
21754462,,Residential,Single Fam,,Bittersweet,Richard Bellian,,245900,238000,2020-11-24,,CrossRoads Link Realty,Sui Sung
21755528,,Residential,Single Fam,,Serenity,Corina Jones,Brad Osborne,245000,239900,2020-12-07,,"Cottingham Realty, Appraisal",Amanda D. Cottingham
21757987,,Residential,Single Fam,,Santiago,Sarah Hamilton,,245000,245000,2020-12-21,,F.C. Tucker Company,Macey Duncan
21755508,,Residential,Single Fam,,Haywood,Coleen Casper,,245000,245000,2020-12-01,,Ferris Property Group,Laurie Coop
21748837,,Residential,Single Fam,,Gainesway,Ron Rose,,264900,254900,2020-10-26,,Jeff Paxson Team,Jeffrey D. Paxson
21758287,,Residential,Single Fam,,LANTERN,Jeffrey D. Paxson,,265000,265000,2020-12-26,,Simplify Real Estate,Eli Skinner
21750999,,Residential,Condo,,Disciple's,Ron Rose,,273493,273493,2020-11-05,,Redfin Corporation,Erica L. Shupert
21756026,,Residential,Single Fam,,Silver Valley,Dwayne A. Walters,,289000,279000,2020-12-04,,Your Home Team,Corina Jones
21752589,,Residential,Condo,,Luke's,Ron Rose,,283516,283516,2020-11-16,,"Indiana Realty Pros, Inc.",Ron Rose
21752583,,Residential,Condo,,Luke's,Ron Rose,,288569,288569,2020-11-16,,"Indiana Realty Pros, Inc.",Ron Rose
21752915,,Residential,Single Fam,,Easy,Hilda Ellis,Clifford Ellis,290000,290000,2020-11-17,,Elite Indy Realty Group,Christopher Duke
