MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21721630,,Residential,Single Fam,,Eugene,Teale Rhodes,,70612,59012,2020-06-27,,,
21729659,,Residential,Condo,,Skylar,Mark Studebaker,,135000,120000,2020-08-03,,,
21723256,,Residential,Single Fam,,KENWOOD,Janis Bradley,,187900,165900,2020-07-06,,,
21732069,,Residential,Condo,,Meridian,Delanie Schembra,Devon Hicks,200000,190000,2020-08-14,,,
21723523,,Residential,Single Fam,,Capitol,James J. Terrell,,349000,299900,2020-07-06,,,
21730752,,Residential,Condo,,Meridian,Mary Rachael Burt,,315000,315000,2020-08-17,,,
21725599,,Residential,Condo,,Illinois,Denise Potter,,350000,325000,2020-07-17,,,
21716791,,Residential,Single Fam,,Capitol,Barbara Whiteside,,395000,339999,2020-06-10,,,
21725586,,Residential,Condo,,Illinois,Denise Potter,,375000,360000,2020-07-17,,,
21725588,,Residential,Condo,,Illinois,Denise Potter,,416054,390000,2020-07-17,,,
21721584,,Residential,Single Fam,,Georgia,Joshua Vida,,579900,499000,2020-06-26,,,
21723515,,Residential,Single Fam,,Ray,James J. Terrell,,695000,595000,2020-07-06,,,
21730049,,Residential,Single Fam,,Senate,Gary Swift,,645000,600000,2020-08-11,,,
21721804,,Residential,Single Fam,,MICHIGAN,David Morris,,1900000,2000000,2020-06-30,,,
21723616,,Residential,Single Fam,,16th,Melissa Trahan,,109900,109900,2020-07-08,,,
21732926,,Residential,Single Fam,,21st,Dreyssy Zuniga,,120000,116000,2020-08-20,,,
21731643,,Residential,Single Fam,,Chester,Bryce Higgins,Cynthia Higgins,139900,119900,2020-08-13,,,
21719954,,Residential,Single Fam,,TUXEDO,Edward Neu,,149900,129000,2020-06-18,,,
21736270,,Residential,Single Fam,,Bellefontaine,Joshua Vida,,169000,159000,2020-08-31,,,
21732990,,Residential,Single Fam,,Wallace,Kandi Allen,,169000,164000,2020-08-20,,,
21716085,,Residential,Condo,,Meridian,Sean B. McDuffee,,224900,199999,2020-06-05,,,
21732810,,Residential,Condo,,Delaware,Nicole Mattingly,,225000,205000,2020-08-20,,,
21721078,,Residential,Single Fam,,Marlowe,Joseph Bowling,,299900,229900,2020-06-24,,,
21731665,,Residential,Single Fam,,Saint Clair,Elizabeth Chastain,,275000,250000,2020-08-13,,,
21720504,,Residential,Single Fam,,Fairfield,Amy Bain,,275000,255000,2020-06-23,,,
21725165,,Residential,Single Fam,,Ruckle,Julie Preston,,320000,267500,2020-07-17,,,
21715598,,Residential,Condo,,Meridian,Sue Lerchen,,424900,299900,2020-06-02,,,
21736072,,Residential,Single Fam,,Eastern,James Gilday,,349900,314900,2020-08-31,,,
21728109,,Residential,Condo,,BROADWAY,Mallorie E. Wilson,Joetta M. Ruble,335000,320000,2020-07-30,,,
21734403,,Residential,Single Fam,,Tannery,Denise Potter,,321026,327877,2020-08-21,,,
21732740,,Residential,Condo,,College,Timothy Birky,Nicholas McNeely,355000,355000,2020-08-20,,,
21735502,,Residential,Single Fam,,Arsenal,Curtis Holland,,399000,359000,2020-08-25,,,
21732389,,Residential,Condo,,East,Randy Farrell,,373400,373400,2020-08-17,,,
21735518,,Residential,Condo,,Ohio,Ranee Rathee,,375000,375000,2020-08-28,,,
21729777,,Residential,Single Fam,,10th,Denise Potter,,369900,377019,2020-08-04,,,
21732768,,Residential,Condo,,Park,Larry Gregerson,,385000,379900,2020-08-20,,,
21731232,,Residential,Single Fam,,SUMMIT,Evan Wagner,,400000,400000,2020-08-13,,,
21732385,,Residential,Condo,,East,Larry Gregerson,,410300,410300,2020-08-17,,,
21729738,,Residential,Single Fam,,Carrollton,Deanna Bauer,,439000,429000,2020-08-03,,,
21730250,,Residential,Single Fam,,New Jersey,Denise Potter,,433626,433626,2020-08-06,,,
21722347,,Residential,Single Fam,,Livery,Denise Potter,,433406,437473,2020-07-01,,,
21716825,,Residential,Single Fam,,25TH,Wendy Zhang,,489000,439000,2020-06-08,,,
21729249,,Residential,Single Fam,,Fall Creek Parkway North,Suzanne Roell-Carlson,Kathleen M. Roell,499900,444900,2020-07-31,,,
21721930,,Residential,Condo,,East,Larry Gregerson,,453200,458300,2020-06-29,,,
21732381,,Residential,Condo,,East,Luci Chalian,,459400,459400,2020-08-17,,,
21732398,,Residential,Condo,,East,Annie Caruso,,508800,508800,2020-08-17,,,
21728489,,Residential,Condo,,Walnut,Joe Everhart,Quinn Demaree,525000,525000,2020-07-28,,,
