"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1","21646745","Active","SFD","3511 Willow Rd","601","$2,999,900","5","3","1","Zionsville","NO SUBDIVISION","1","2LEVL","ATTACH","2","2,998","Yes","4,250","588","PTWR01"
"1","21630016","S","SFD","320 Fitch Pl","601","$145,000","3","1","0","Zionsville","NO SUBDIVISION","1","1LEVL","OTHER","","1,366","Yes","1,707","2","AMPM01"
"1","21662159","S","SFD","523 Pheasant Run","601","$170,000","3","2","0","Zionsville","SYCAMORE BEND","1","1LEVL","ATTACH","2","1,740","No","1,740","1","TUCK18"
"1","21666133","S","CND","1536 Roanoke Dr","601","$172,000","2","2","1","Zionsville","OLDE DOMINION","1","1LEVL","ATTACH","2","1,253","No","1,253","9","PRIO01"
"1","21641315","S","CND","160 DOMINION DR","601","$172,000","3","2","1","Zionsville","OLDE DOMINION","1","2LEVL","ATTACH","2","1,554","No","1,554","0","EXPL01"
"1","21638960","S","SFD","649 LAKEVIEW Dr","601","$173,900","3","1","1","Zionsville","LAKE VIEW","0","1LEVL","NONE","","1,524","No","1,524","2","CESC05"
"1","21668819","S","CND","1526 Roanoke Dr","601","$175,000","2","2","1","Zionsville","OLDE DOMINION","1","2LEVL","ATTACH","2","1,440","No","1,440","20","TUCK18"
"1","21643112","S","CND","1542 Norfolk Dr","601","$175,000","3","3","1","Zionsville","OLDE DOMINION","1","2LEVL","ATTACH","2","1,474","No","1,474","10","KWIN01"
"1","21639542","S","SFD","6682 WIMBLEDON Dr","601","$175,000","3","2","0","Zionsville","ROYAL RUN","0","1LEVL","ATTACH","2","1,284","No","1,284","4","HRGP01"
"1","21673207","S","CND","84 Dominion Dr","601","$179,400","2","2","0","Zionsville","OLDE DOMINION","1","1LEVL","ATTACH","2","1,664","No","1,664","1","TUCK04"
"1","21675817","S","SFD","6304 Pickwick Ct","601","$180,000","3","2","0","Zionsville","ROYAL RUN","1","1LEVL","ATTACH","2","1,224","No","1,224","6","KWIN01"
"1","21625486","S","SFD","3425 S 875 E","601","$180,000","3","2","0","Zionsville","ALLEN ACRES","0","1LEVL","DETATCH","2","1,172","Yes","2,344","97","KWIN05"
"1","21640073","S","SFD","6550 AMHERST Way","601","$186,900","3","2","0","Zionsville","ROYAL RUN","0","1LEVL","ATTACH","2","1,479","No","1,479","12","TRDR01"
"1","21671607","S","CND","37 Dominion Dr","601","$195,000","2","2","1","Zionsville","OLDE DOMINION","1","1HALF","ATTACH","2","1,433","No","1,433","2","TUCK18"
"1","21630370","S","CND","11915 Riley Dr Unit#3","601","$195,000","3","2","2","Zionsville","HUNTER GLEN","1","3LEVL","ATTACH","2","1,900","No","1,900","8","CESC01"
"1","21670016","S","CND","1509 Richmond Dr","601","$195,500","2","2","1","Zionsville","OLDE DOMINION","1","2LEVL","ATTACH","2","1,502","No","1,502","3","KWIN04"
"1","21652444","S","SFD","6731 Wimbledon Dr","601","$198,000","4","2","1","Zionsville","ROYAL RUN","0","2LEVL","ATTACH","2","1,592","No","1,592","34","PDIG01"
"1","21656607","S","SFD","615 N Ford Rd","601","$200,000","3","1","0","Zionsville","NO SUBDIVISION","0","1LEVL","ATTACH,CARPORT","1","1,008","Yes","2,016","36","REAB01"
"1","21650841","S","SFD","820 Eaglewood Dr","601","$203,000","3","1","1","Zionsville","METES & BOUNDS","0","1LEVL","ATTACH","2","1,314","No","1,314","103","CARP04"
"1","21647649","S","SFD","6255 SADDLETREE DR","601","$205,000","3","2","0","Zionsville","ROYAL RUN","1","1LEVL","ATTACH","2","1,570","No","1,570","6","TUCK07"
"1","21641976","S","CND","11900 Kelso Dr Unit#4","601","$205,000","2","2","2","Zionsville","HUNTER GLEN","1","3LEVL","ATTACH","2","1,900","No","1,900","3","SCBA01"
"1","21653489","S","CND","11910 Kelso Dr Unit#5","601","$210,000","2","2","2","Zionsville","HUNTER GLEN","1","3LEVL","ATTACH","2","1,900","No","1,900","26","TURT01"
"1","21640506","S","SFD","638 Lakeview Dr","601","$210,000","3","1","1","Zionsville","LAKE VIEW","0","1LEVL","ATTACH,DETATCH","3","1,317","No","1,317","0","REAB01"
"1","21676145","S","SFD","6732 BERKSHIRE Dr","601","$212,000","3","2","0","Zionsville","ROYAL RUN","1","1LEVL","ATTACH","2","1,526","No","1,526","32","ECOR01"
"1","21647530","S","SFD","6504 Amherst Way","601","$215,000","3","2","0","Zionsville","ROYAL RUN","1","1LEVL","ATTACH","2","1,660","No","1,660","3","TUCK07"
"1","21594867","S","SFD","630 W Poplar St","601","$215,000","2","1","0","Zionsville","CARTERS","1","1HALF","NONE","","1,380","Yes","1,980","415","CERA01"
"1","21592470","S","SFD","545 Zion Ln","601","$215,000","3","2","0","Zionsville","ZION LANE","1","1LEVL","ATTACH","2","1,594","No","1,594","352","PREQ01"
"1","21640841","S","SFD","6273 Lancaster Pl","601","$215,500","3","2","0","Zionsville","ROYAL RUN","1","1LEVL","ATTACH","2","1,918","No","1,918","3","CESC05"
"1","21651975","S","CND","11910 Kelso Dr Unit#4","601","$216,000","2","2","1","Zionsville","HUNTER GLEN","1","3LEVL","ATTACH","2","1,900","No","1,900","3","LFRE01"
"1","21648183","S","SFD","6500 GLENWOOD TRACE","601","$219,500","4","2","1","Zionsville","ROYAL RUN","1","2LEVL","ATTACH","2","1,941","No","1,941","7","CESC01"
"1","21638165","S","SFD","6274 BRIARGATE Dr","601","$221,000","4","2","1","Zionsville","ROYAL RUN","1","2LEVL","ATTACH","2","1,936","No","1,936","3","CESC05"
"1","21641353","S","SFD","6268 Lancaster Pl","601","$222,000","3","2","1","Zionsville","ROYAL RUN","1","2LEVL","ATTACH","2","2,105","No","2,105","2","RELL01"
"1","21666011","S","CND","6368 Central Blvd","601","$223,000","2","2","2","Zionsville","TOWNHOMES AT ANSON","1","3LEVL","ATTACH","2","1,359","Yes","2,038","11","REDF01"
"1","21675059","S","SFD","40 S 2ND ST","601","$225,000","1","1","1","Zionsville","CROSSES","1","1LEVL","DETATCH","2","950","Yes","1,187","3","KWIN04"
"1","21640826","S","SFD","9255 Whitestown Rd","601","$225,000","3","2","0","Zionsville","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,479","No","1,479","6","TUCK18"
"1","21644971","S","SFD","6539 Amherst Way","601","$226,515","3","2","1","Zionsville","ROYAL RUN","1","2LEVL","ATTACH","2","2,459","No","2,459","18","EXPL01"
"1","21662671","S","CND","11915 Riley Dr Unit#1","601","$227,000","3","3","1","Zionsville","HUNTER GLEN","1","3LEVL","ATTACH","2","1,824","Yes","2,280","8","TUCK06"
"1","21661259","S","SFD","6283 Saddletree Dr","601","$227,000","4","2","1","Zionsville","ROYAL RUN","1","2LEVL","ATTACH","2","2,317","No","2,317","34","CESC05"
"1","21650487","S","SFD","9470 E 400 S","601","$229,000","4","1","1","Zionsville","NO SUBDIVISION","0","1LEVL","ATTACH","2","1,506","No","1,506","45","KWIN01"
"1","21673784","S","SFD","130 Lexington Ct","601","$230,000","4","2","0","Zionsville","IRONGATE","1","1LEVL","ATTACH","2","1,967","No","1,967","18","PRAL01"
"1","21661844","S","SFD","6267 LANCASTER Pl","601","$230,000","3","2","1","Zionsville","ROYAL RUN","1","2LEVL","ATTACH","2","2,180","No","2,180","9","TUCK08"
"1","21614760","S","SFD","2840 Daugherty Dr","601","$234,500","3","2","0","Zionsville","ZION HILLS","1","1LEVL","ATTACH","2","1,522","No","1,522","97","REAB01"
"1","21649656","S","SFD","9440 E 400 S","601","$235,000","5","2","0","Zionsville","ZIONSVILLE","1","1LEVL","ATTACH,DETATCH,MULTI","4+","2,320","No","2,320","1","PLCL01"
"1","21639950","S","SFD","487 Beverly Dr","601","$235,000","3","2","0","Zionsville","NORTHVIEW DRIVE","1","1LEVL","ATTACH","2","2,201","No","2,201","60","CESC05"
"1","21641955","S","SFD","6511 Kingsbury Way","601","$236,625","4","2","1","Zionsville","ROYAL RUN","1","2LEVL","ATTACH","2","2,204","No","2,204","5","TUCK18"
"1","21635421","S","SFD","1600 Saylor St","601","$237,500","4","2","1","Zionsville","IRONGATE","1","2LEVL","ATTACH","2","2,212","Yes","3,370","4","SPRG01"
"1","21652214","S","SFD","6515 Abby Ln","601","$238,000","4","3","0","Zionsville","ROYAL RUN","1","2LEVL","ATTACH","2","2,620","No","2,620","15","REMD01"
"1","21642896","S","SFD","6697 Amherst Way","601","$240,000","3","2","1","Zionsville","AMHERST MEADOWS AT ROYAL RUN","1","2LEVL","ATTACH","2","2,625","No","2,625","20","KWLF01"
"1","21659792","S","SFD","6287 Canterbury Dr","601","$242,500","4","2","1","Zionsville","ROYAL RUN","0","2LEVL","ATTACH","2","2,583","No","2,583","33","EZST01"
"1","21660852","S","SFD","130 Lexington Dr","601","$243,000","3","2","0","Zionsville","IRONGATE","1","1LEVL","ATTACH","2","1,662","No","1,662","4","TUCK18"
"1","21646713","S","SFD","3775 S 875 E","601","$245,000","3","2","1","Zionsville","NO SUBDIVISION","1","1LEVL","ATTACH","2","1,792","No","1,792","17","NXTH01"
"1","21630414","S","CND","6321 Central Blvd","601","$247,000","3","3","1","Zionsville","TOWNHOMES AT ANSON","1","3LEVL","BUILTIN","2","2,352","No","2,352","25","CESC04"
"1","21632465","S","SFD","6518 Hunters Ridge N Dr","601","$250,000","4","2","1","Zionsville","ROYAL RUN","1","2LEVL","ATTACH","2","2,544","No","2,544","1","CARP32"
"1","21663053","S","CND","6383 Central Blvd","601","$252,000","3","3","1","Zionsville","TOWNHOMES AT ANSON","1","3LEVL","ATTACH","2","2,532","No","2,532","86","DMTR01"
"1","21659531","S","CND","6373 Central Blvd","601","$252,000","3","3","1","Zionsville","TOWNHOMES AT ANSON","1","3LEVL","ATTACH","2","2,442","No","2,442","5","TUCK10"
"1","21680967","S","SFD","45 Palomino Ct","601","$253,000","3","2","0","Zionsville","HUNT CLUB VILLAGE","0","2LEVL","ATTACH","2","1,673","No","1,673","1","CESC05"
"1","21647145","S","SFD","550 Nuthatch Dr","601","$255,000","3","2","0","Zionsville","SYCAMORE BEND","1","1LEVL","ATTACH","2","2,119","No","2,119","3","CARP32"
