MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21746184,,Residential,Single Fam,,BENNETT,Jason Alsup,Linda Ball,110000,99000,2020-10-26,,,
21746984,,Residential,Single Fam,,Exmoor,James Rendaci,,114900,114900,2020-10-20,,,
21743937,,Residential,Condo,,Yardley,Joshua Vida,,123000,123000,2020-10-03,,,
21755387,,Residential,Single Fam,,DABNY,Amanda Hull,,145000,145000,2020-11-30,,,
21738401,,Residential,Condo,,Caversham,Charles Tim Lord,,224500,199500,2020-09-11,,,
21750855,,Residential,Single Fam,,79th,Christopher Doyle,Michele Doyle,275000,240000,2020-11-03,,,
21754961,,Residential,Single Fam,,Primrose,Monica Klein-Dollens,,62000,62000,2020-11-25,,,
21754759,,Residential,Condo,,PARK CENTRAL S DR,Jen Webster,Marsha Wilson,75000,67000,2020-11-25,,,
21750222,,Residential,Single Fam,,39th,Scott A. Wynkoop,,110000,105000,2020-11-13,,,
21743949,,Residential,Condo,,Canterbury,Donald Lawless II,Lynn A. Lawless,116000,116000,2020-10-05,,,
21738081,,Residential,Single Fam,,Harvard,Malinda Ennis,,169000,140900,2020-09-21,,,
21753134,,Residential,Single Fam,,Rural,Thomas V. Endicott,,139900,149900,2020-11-19,,,
21746570,,Residential,Single Fam,,Crittenden,Phil Hotle,,162900,162900,2020-10-19,,,
21749892,,Residential,Single Fam,,72nd,Jessica Bischoff,,150000,164800,2020-10-30,,,
21743418,,Residential,Single Fam,,Winthrop,Kimberly R. Walsh,,175000,169000,2020-10-02,,,
21750325,,Residential,Single Fam,,Ralston,Michelle L. Campbell,,179000,172000,2020-11-13,,,
21754410,,Residential,Single Fam,,Crittenden,Richard J. Ward,,172900,172900,2020-11-23,,,
21752235,,Residential,Single Fam,,Indianola,Connor Simonson,,175000,175000,2020-11-16,,,
21754325,,Residential,Single Fam,,Evanston,Cindy Martin,,184900,179900,2020-11-18,,,
21752033,,Residential,Condo,,Cadbury,John S. Lewis,,209900,179900,2020-11-11,,,
21754230,,Residential,Single Fam,,42ND,Tasheana Hanza,,185000,185000,2020-11-19,,,
21752232,,Residential,Single Fam,,Evanston,Connor Simonson,,185000,185000,2020-11-16,,,
21755115,,Residential,Single Fam,,Victoria,Sanjiv Neal,,189900,189900,2020-11-27,,,
21751377,,Residential,Condo,,Colfax,Lisamarie J. Stonebraker,,189900,189900,2020-11-09,,,
21744604,,Residential,Condo,,Admiralty,Tom McNulty,Pat McNulty,225000,204900,2020-10-08,,,
21744190,,Residential,Single Fam,,Guilford,Michelle R. Butts,,234900,215000,2020-10-05,,,
21752146,,Residential,Single Fam,,Meridian Square,Kevin Hudoba,,239900,239900,2020-11-13,,,
21745920,,Residential,Condo,,Millwood,Peter F. Montgomery,,264500,259500,2020-10-14,,,
21750600,,Residential,Single Fam,,Park,Timothy O'Connor,Sean O'Connor,275000,275000,2020-11-16,,,
21751459,,Residential,Single Fam,,Evanston,Catherine A. O'Banion,,284890,284890,2020-11-19,,,
21745731,,Residential,Single Fam,,Stallion,Marie Edwards,,301780,294900,2020-10-13,,,
21751216,,Residential,Single Fam,,69th,Gregory Hillman,,299000,299000,2020-11-09,,,
21754488,,Residential,Single Fam,,Haverford,Daniel J. Baldini,,300000,300000,2020-11-20,,,
21752831,,Residential,Single Fam,,Kessler Blvd E,Cody Studebaker,,320000,312950,2020-11-21,,,
21755232,,Residential,Single Fam,,Ruckle,Juan F. Cassella,,315000,315000,2020-11-29,,,
21740901,,Residential,Condo,,Newport Bay,Roy Hedeen,,349000,329000,2020-09-25,,,
21748949,,Residential,Single Fam,,77th Street North,Candace Fisk,,344900,334900,2020-10-28,,,
21753079,,Residential,Single Fam,,College,Mark Sprout,,345000,339000,2020-11-19,,,
21745735,,Residential,Single Fam,,Blue Ridge,Libby Somerville,,415000,380000,2020-10-23,,,
21740350,,Residential,Single Fam,,Guilford,Kolby Smethers,,440999,414900,2020-09-25,,,
21751369,,Residential,Single Fam,,College,Joe Everhart,Quinn Demaree,450000,419000,2020-11-09,,,
21739111,,Residential,Single Fam,,57TH,Patti Parsons,,495000,449952,2020-09-17,,,
21745692,,Residential,Condo,,MERIDIAN,Thomas S. Corbett,Michael Feldman,475000,465000,2020-10-15,,,
21734726,,Residential,Single Fam,,Ruckle,Kyle Peckinpaugh,Bethany Jensen,499000,499000,2020-09-04,,,
21746102,,Residential,Single Fam,,Statesmen,Sherry Drybrough,,539900,499900,2020-10-15,,,
21743480,,Residential,Single Fam,,86th,Andrea Kelly,,499900,499900,2020-10-01,,,
21743467,,Residential,Single Fam,,86th,Andrea Kelly,,524900,524900,2020-10-01,,,
21743424,,Residential,Single Fam,,86th,Andrea Kelly,,549900,524900,2020-10-01,,,
21751513,,Residential,Single Fam,,71ST,Rick Elson,John T. Creamer,625000,599900,2020-11-13,,,
21744555,,Residential,Single Fam,,Delaware,Jason Sciortino,,649900,599900,2020-10-07,,,
21742514,,Residential,Single Fam,,Round Hill,Kim Thomas,,700000,670000,2020-09-28,,,
21746717,,Residential,Single Fam,,WILLIAMSHIRE,Ginny Purdy-Paskoff,,800000,724900,2020-10-21,,,
21744314,,Residential,Single Fam,,Meridian,Matt McLaughlin,,749900,744900,2020-10-08,,,
21739899,,Residential,Single Fam,,Somerset,Jeff Carroll,Patti Carroll,920000,849900,2020-09-22,,,
21738663,,Residential,Single Fam,,Dover,Beverly Fast Sinclair,,1250000,949900,2020-09-15,,,
21751957,,Residential,Single Fam,,Meridian,Kimberly S. Carpenter,,1199900,1050000,2020-11-13,,,
21744010,,Residential,Single Fam,,Illinois,Zeida Suljkanovic,Meighan Wise,1350000,1250000,2020-10-05,,,
21742004,,Residential,Single Fam,,Pine,Bif Ward,,1750000,1650000,2020-09-30,,,
21751211,,Residential,Single Fam,,47th,Rafael Evans,,90000,78900,2020-11-08,,,
21749722,,Residential,Single Fam,,43rd,Edwin Watson,,99995,85000,2020-11-18,,,
21751254,,Residential,Condo,,Arlington,Susan D. Broyles,,90000,90000,2020-11-07,,,
21752240,,Residential,Single Fam,,Barnor,Sandra M. Daley,,99500,95300,2020-11-12,,,
21743629,,Residential,Single Fam,,BARLOW,Jack Norton,,99900,99900,2020-10-01,,,
21744441,,Residential,Single Fam,,KERCHEVAL,Joshua Bangert,,135000,112000,2020-10-06,,,
21752149,,Residential,Single Fam,,Kramer,James B. Trueblood,Courtni Hall,125000,125000,2020-11-13,,,
21749152,,Residential,Single Fam,,Alsace,Kristina Akopdzhanova,,140000,135000,2020-10-31,,,
21752317,,Residential,Single Fam,,63rd,Samuel Barron,,159000,139000,2020-11-13,,,
21752830,,Residential,Single Fam,,Butler,Debbie Pidgeon,Walter Killingsworth,170000,170000,2020-11-18,,,
21735941,,Residential,Condo,,Whisperwood,Jackie Murray,,250000,220000,2020-09-08,,,
21748564,,Residential,Single Fam,,Brunson,Eric Forney,Thomas Weaver,260000,260000,2020-11-12,,,
21735981,,Residential,Condo,,Greenwillow,Karen Welch,Joseph Hession,275000,265000,2020-09-01,,,
21751391,,Residential,Single Fam,,Devington,Catherine A. O'Banion,,290990,282990,2020-11-09,,,
21752970,,Residential,Single Fam,,Hawley,Angela M. Huser,,288535,288535,2020-11-18,,,
21754566,,Residential,Single Fam,,Hawkins,Angela M. Huser,,294923,294923,2020-11-24,,,
21751232,,Residential,Single Fam,,Avalon Trail,Jasonte Williams,,329900,299999,2020-11-14,,,
21752952,,Residential,Single Fam,,Hawley,Angela M. Huser,,301731,301731,2020-11-18,,,
21742584,,Residential,Condo,,Lower Bay,Gail Jansen,,360000,355000,2020-09-28,,,
21743205,,Residential,Single Fam,,46th,Steve Sanford,,449900,379900,2020-09-30,,,
21744313,,Residential,Single Fam,,Ravenna,Seann L. Tischler,,475000,475000,2020-10-06,,,
21743626,,Residential,Single Fam,,STURGEN BAY,Amelia Akers,Aleks Krnich,500000,475000,2020-10-08,,,
21728156,,Residential,Single Fam,,Macatuck,Steve Sergi,Kristina Swatts,545000,499500,2020-09-04,,,
