MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21674497,,Residential,Condo,,Meridian,David Bryant,,448900,418900,2019-10-11,,,
21666677,,Residential,Single Fam,,Emerson,Judith Ann Hoeping,,579000,579000,2019-09-06,,,
21674967,,Residential,Single Fam,,Canna,Ray Stuck,,545000,545000,2019-10-21,,,
21680948,,Residential,Single Fam,,Eugene,Bruce Baird,,10000,9000,2019-11-12,,,
21673713,,Residential,Single Fam,,Eugene,Bruce Baird,,12000,11000,2019-10-07,,,
21673707,,Residential,Single Fam,,32nd,Bruce Baird,,12000,11000,2019-10-07,,,
21673700,,Residential,Single Fam,,33rd,Bruce Baird,,12000,11000,2019-10-07,,,
21673516,,Residential,Single Fam,,Udell,Bruce Baird,,14000,12750,2019-10-06,,,
21680971,,Residential,Single Fam,,Arsenal,Bruce Baird,,8500,7750,2019-11-12,,,
21678697,,Residential,Single Fam,,Gale,Bruce Baird,Stephanie Quick,11250,10250,2019-10-29,,,
21678693,,Residential,Single Fam,,Station,Bruce Baird,Stephanie Quick,11250,10250,2019-10-29,,,
21673009,,Residential,Single Fam,,Kinnear,Bruce Baird,,15500,14000,2019-10-03,,,
21673003,,Residential,Single Fam,,Denny,Bruce Baird,,15500,14000,2019-10-03,,,
21672921,,Residential,Single Fam,,Olney,Bruce Baird,,16500,15000,2019-10-02,,,
21672919,,Residential,Single Fam,,Bradley,Bruce Baird,,17500,15500,2019-10-02,,,
21672915,,Residential,Single Fam,,Hillside,Bruce Baird,,17500,15750,2019-10-02,,,
21670335,,Residential,Single Fam,,Hillside,Bruce Baird,,17500,15750,2019-09-20,,,
21668101,,Residential,Condo,,Delaware,Larry Gregerson,,279900,294000,2019-09-18,,,
21668035,,Residential,Condo,,Delaware,Larry Gregerson,,294900,304000,2019-09-18,,,
21678044,,Residential,Single Fam,,Carrollton,Carlos Higareda,,539900,495000,2019-10-30,,,
21676362,,Residential,Single Fam,,Central,Rick Elson,John T. Creamer,575000,575000,2019-10-21,,,
21683864,,Residential,Single Fam,,PARK,Joe Everhart,Quinn Demaree,1900000,1750000,2019-11-25,,,
21672917,,Residential,Single Fam,,Golay,Bruce Baird,,17500,15750,2019-10-02,,,
21646615,,Residential,Single Fam,,Nantahala,Todd Ferris,,489900,399000,2019-06-20,,RE/MAX Legends Group,Katie E. Malott
21658010,,Residential,Single Fam,,Church,Joshua Vida,,170000,155000,2019-07-25,,F.C. Tucker Company,Rhonda Schwartz
21661871,,Residential,Single Fam,,Fullwood,Dennis Nottingham,Stewart Duhamell,7000,7000,2019-08-14,2019-11-06,Non-BLC Office,Non-BLC Member
21653559,,Residential,Condo,,HAPPY HOLLOW,Lannie Thompson,,40000,35500,2019-07-12,2020-01-12,Highgarden Real Estate,Michelle Madariaga
21674084,,Residential,Condo,,London,Christopher B. Fahy,Julie Getty-Downham,43500,43500,2019-10-10,2020-04-05,Great Woods Realty LLC,Brian M. Smith
21675325,,Residential,Condo,,Commons,Erica Edwards,,54900,54900,2019-10-18,2020-04-18,CENTURY 21 Scheetz,Erica Edwards
21642966,,Residential,Single Fam,,79th,Joshua Ember,Donna Kreps,79900,60000,2019-05-24,2019-11-21,"Heffernan's Home Team, LLC",Jeremy Hall
21659456,,Residential,Condo,,Oakwood,Gary Apter,,69900,69900,2019-08-15,2020-02-15,Honest Trust Realty LLC,Xiao L. Zhang
21654851,,Residential,Condo,,OAKBROOK,Judy Bastnagel,Samantha Springston,65000,65000,2019-07-16,2020-01-16,"Carpenter, REALTORS®",Judy Bastnagel
21653269,,Residential,Condo,,59th,Oumar Bah,,72900,69000,2019-07-09,2019-10-31,CENTURY 21 Scheetz,Mackenzie McLane
21663615,,Residential,Condo,,London,Cody Studebaker,,70000,70000,2019-08-26,2020-02-26,Keller Williams Indy Metro NE,Pat Haddad
21672638,,Residential,Condo,,Village Parkway,Autumn Sojka,,75000,75000,2019-10-02,2020-03-28,Heroes Property Group,Autumn Sojka
21664117,,Residential,Condo,,Oakbrook,Perla Palma Nunez,,72000,72000,2019-08-25,2019-11-25,"RCA Realty, Inc.",David A. Graham
21661503,,Residential,Single Fam,,Mason,Laura Musall,,95000,95000,2019-08-13,2020-01-13,Keller Williams Indy Metro NE,Barbara Whiteside
21655272,,Residential,Condo,,Village Parkway #11,Jamie Hall,Lea K. Grove,77900,77900,2019-07-18,2020-01-17,F.C. Tucker Company,Aida F. Pierson
21668104,,Residential,Condo,,Oakbrook,Craig Bartels,Karen E. Campbell,79000,79000,2019-09-07,2020-03-07,Four Seasons Realty Group LLC,Dawn Manning
21636548,,Residential,Condo,,Deerwood,Dave Ellis,,79000,79000,2019-06-08,2019-12-31,"eXp Realty, LLC",Marcia Souers
21661392,,Residential,Condo,,Village Parkway,Bonita Hurt,,79900,79900,2019-08-12,2020-02-12,"Carpenter, REALTORS®",Kasandra Franklin
21671459,,Residential,Single Fam,,Michigan,Mark A. Lopez,,125000,125000,2019-09-30,2020-03-30,Non-BLC Office,Non-BLC Member
21668741,,Residential,Condo,,Village Parkway,Phyllis Gillingham,,80000,80000,2019-09-18,2020-03-28,Own It Realty LLC,Angela K. Sherrill
21664101,,Residential,Condo,,Village Parkway,Vince Wall,,77700,77700,2019-08-25,2019-12-25,"Jeneene West Realty, LLC",Jeneene West
21663716,,Residential,Condo,,Georgetown,Christopher Schulhof,Joy A. Harris,74900,74900,2019-08-26,2020-02-28,Keller Williams Indy Metro NE,Mary Boustani
21658083,,Residential,Condo,,EAGLE COVE EAST,LaTasha Stevenson,,95000,90000,2019-07-25,2020-01-25,F.C. Tucker Company,Shawna Hargrave
21660936,,Residential,Condo,,Biron,Jeneene West,Gregg E. West,80000,85000,2019-08-09,2020-01-31,"Carpenter, REALTORS®",Julie Norris
21674216,,Residential,Condo,,47th,Randy D Worrell,Caroline Coffey,89900,89900,2019-10-11,2020-02-18,"Real Estate Synergy, LLC",Courtney M. Cross
21667192,,Residential,Single Fam,,76th,Scott Smith,Joel Clausen,90000,90000,2019-09-26,2020-02-26,Highgarden Real Estate,Shannon Gilbert
21615891,,Residential,Single Fam,,Guion,Timothy O'Connor,Sean O'Connor,119900,119900,2019-01-23,2019-09-29,Non-BLC Office,Non-BLC Member
21653406,,Residential,Condo,,Fordham,Cynthia Phillips,,90000,90000,2019-07-15,2019-10-15,"Carpenter, REALTORS®",Tommie Hamilton
21679052,,Residential,Condo,,KIMMERIDGE,Doreen S. Harris,,99000,99000,2019-10-29,2019-12-31,RE/MAX Legends Group,Doreen S. Harris
21665687,,Residential,Condo,,BAY HARBOR,Dennis W. Nottingham,Stewart Duhamell,99900,99900,2019-09-03,2019-11-30,RE/MAX Legends Group,Katie E. Malott
21636991,,Residential,Single Fam,,Manning,Scott Wynkoop,Christopher A. Wynkoop,144900,114900,2019-04-30,2019-09-30,RE/MAX At The Crossing,Laura L. Bonner
21663447,,Residential,Condo,,Bay Harbor,Richard Harden,,103000,103000,2019-08-21,2020-02-21,RE/MAX Results,Carlos J. Higareda
21672786,,Residential,Single Fam,,OSSINGTON,Keri Arthurton,,99900,99900,2019-10-02,2020-02-09,KP Fuller & Associates LLC,Kerrah Fuller
