MLSNumber,NewConstructionYN,PropertyType,PropertySubType,StreetNumberAlpha,StreetName,ListAgentFullName,CoListAgentFullName,OriginalListPrice,ListPrice,ListingContractDate,ExpirationDate,SellingOfficeName,SellingAgentFullName 
21745956,,Residential,Single Fam,,BRUCE,Michelle L. Kelly,,349900,344900,2020-10-16,2021-03-12,RE/MAX Complete,Sarah M. Colon
21711506,,Residential,Single Fam,,Valiant,Clay Burris,,351670,359465,2020-05-21,2021-05-21,Non-BLC Office,Non-BLC Member
21750637,,Residential,Single Fam,,Sommerwood,Jason Hofmann,,339000,339000,2020-11-05,2021-05-05,Berkshire Hathaway Home,Mark O'Hara
21740186,,Residential,Single Fam,,Hargray,Bronson R. Jones,,345000,345000,2020-09-21,2021-02-20,F.C. Tucker Company,Jon S. Hirschfeld
21728549,,Residential,Single Fam,,Babbling Brook,Jeff Kucic,,349900,349900,2020-07-30,2021-01-30,F.C. Tucker Company,Laura Musall
21718941,,Residential,Single Fam,,Bounds,Michael Gamage,,375000,350000,2020-06-16,2020-08-16,CENTURY 21 Scheetz,Denise Fiore
21736452,,Residential,Single Fam,,Mahogany,Non-BLC Member,,346560,346560,2020-02-23,2020-09-02,F.C. Tucker Company,Deborah Elliott
21746903,,Residential,Single Fam,,Mahogany,Non-BLC Member,,343670,343670,2020-05-22,2020-10-31,F.C. Tucker Company,Daniel Brown
21726334,,Residential,Single Fam,,Round Lake,Steven Rupp,Kylie Zajac,360000,350000,2020-08-07,2021-02-07,Trueblood Real Estate,Amelia Akers
21748354,,Residential,Single Fam,,Stonehenge,C. Ron Ragan,,374900,352000,2020-10-23,2021-03-23,CENTURY 21 Scheetz,Eric Rasmussen
21758717,,Residential,Single Fam,,Flynn,Unknown Non-BLC Member,,348268,348268,2020-11-04,2021-05-04,RE/MAX Complete,Jeffrey D. Cummings
21757133,,Residential,Single Fam,,Country Lake,Whitney Dahlstrom,,349000,349000,2020-12-14,2020-12-15,In-Site Real Estate Services,Whitney Dahlstrom
