"","BLC # ","St","P Type","Address","Area","List/MoRnt $","Beds Total","Baths Full","Baths Half","Sch D","Subdivision","# Fireplaces","Lvls","Gar","# of Garage Spaces","Sq Ft Main Upper","Basement","Total Sq Ft","DOM","List Office MLSID"
"1001","21724271","S","SFD","15472 Woodford Dr","2913","$408,755","3","2","1","WestWashn","HARMONY","1","1LEVL","ATTACH","2","2,300","No","2,300","199","NBLC01"
"1001","21706707","S","SFD","15736 Viking Commander Way","2913","$410,000","3","2","1","WestWashn","MEADOWLANDS AT VIKING MEADOW","1","1LEVL","ATTACH","3","2,436","No","2,436","3","RELL01"
"1001","21686309","S","SFD","15584 Marsden Dr","2913","$410,000","3","3","0","WestWashn","HARMONY","0","2LEVL","ATTACH","3","2,895","No","2,895","185","CESC01"
"1001","21720741","S","SFD","14 Cool Creek Cir","2913","$419,000","4","2","1","WestWashn","COOL CREEK","1","TRILV","ATTACH","2","2,380","Yes","3,192","3","KWIN01"
"1001","21692636","S","SFD","16459 Owen Dr","2913","$420,555","3","3","0","WestWashn","Wood Wind","1","1LOFT","BUILTIN","3","2,596","No","2,596","125","CESC01"
"1001","21712361","S","SFD","3578 Blenheim Pl","2913","$421,575","4","2","1","WestWashn","VILLAGES OF OAK MANOR","1","2LEVL","ATTACH","2","2,766","Yes","3,999","2","HMSR01"
"1001","21700478","S","SFD","428 Worth Ct","2913","$421,950","4","3","1","WestWashn","VILLAGE FARMS","2","2LEVL","ATTACH","3","3,504","Yes","4,834","4","CESC05"
"1001","21706956","S","SFD","15864 Falcons Fire Dr","2913","$425,000","4","3","1","WestWashn","BLUE GRASS AT VIKING MEADOWS","1","2LEVL","ATTACH","3","2,584","Yes","3,834","2","TUCK10"
"1001","21701556","S","SFD","3587 Snowdon Dr","2913","$425,000","4","3","1","WestWashn","VILLAGES OF OAK MANOR","2","2LEVL","ATTACH","2","3,076","Yes","4,241","24","BHHS02"
"1001","21619117","S","SFD","16149 Creeks Bend Ct","2913","$428,040","4","2","1","WestWashn","BENT CREEK","1","2LEVL","ATTACH","3","2,897","Yes","2,897","157","CESC01"
"1001","21704962","S","SFD","15533 Declaration Dr","2913","$435,000","4","3","2","WestWashn","CENTENNIAL","1","2LEVL","ATTACH","3","3,459","Yes","5,307","21","KWIN01"
"1001","21704241","S","SFD","1546 Birchfield Dr","2913","$435,625","2","2","0","WestWashn","HARMONY","2","1LEVL","ATTACH","2","2,108","Yes","2,108","43","BHHS12"
"1001","21726294","S","SFD","1498 Birchfield Dr","2913","$435,865","3","2","1","WestWashn","HARMONY","1","1LEVL","ATTACH,TANDM","2","2,336","No","2,336","1","BHHS12"
"1001","21718600","S","SFD","1588 Rossmay Dr","2913","$437,000","4","3","1","WestWashn","HARMONY","1","2LEVL","ATTACH","3","2,504","Yes","3,546","6","TUCK03"
"1001","21694304","S","SFD","15556 Marsden Dr","2913","$437,000","4","3","1","WestWashn","HARMONY","0","1LEVL","ATTACH","3","2,025","Yes","3,310","143","BHHS01"
"1001","21705580","S","SFD","14982 Black Wolf Run Dr","2913","$442,000","6","3","1","WestWashn","BRIDGEWATER CLUB","1","2LEVL","ATTACH","3","3,228","Yes","4,734","53","BHHS12"
"1001","21708889","S","SFD","3895 Elkhorn Way","2913","$444,323","3","3","0","WestWashn","Nottingham at The Villages of Oak Manor","1","1LEVL","ATTACH","2","2,236","Yes","4,422","2","HMSR01"
"1001","21721927","S","SFD","15567 Heatherbank","2913","$448,405","3","3","0","WestWashn","HARMONY","1","2LEVL","ATTACH","3","2,895","No","2,895","1","NBLC01"
"1001","21715588","S","SFD","16424 Carter Ct","2913","$450,000","5","4","1","WestWashn","CAREY GLEN","2","2LEVL","ATTACH","3","3,374","Yes","4,676","8","KWIN01"
"1001","21700429","S","SFD","1587 Avondale Dr","2913","$455,000","5","4","1","WestWashn","HARMONY","1","2LEVL","ATTACH","3","2,854","Yes","3,912","94","KWIN01"
"1001","21638259","S","SFD","1364 Julep Ln","2913","$455,000","3","3","1","WestWashn","DERBY RIDGE","1","1HALF","ATTACH","3","2,530","Yes","4,113","383","HMSR01"
"1001","21722113","S","SFD","1616 Farmhouse Dr","2913","$460,000","4","3","1","WestWashn","HARMONY","1","2LEVL","ATTACH","3","3,376","Yes","4,947","11","BHHS12"
"1001","21704959","S","SFD","1400 Rossmay Dr","2913","$460,000","4","3","1","WestWashn","HARMONY","1","2LEVL","TANDM","3","2,691","Yes","3,935","26","ECOR01"
"1001","21708920","S","SFD","15835 Storm Jib Ct","2913","$468,500","4","3","1","WestWashn","MEADOWLANDS AT VIKING MEADOW","0","2LEVL","ATTACH","3","2,705","Yes","4,030","3","CBKA01"
"1001","21710192","S","SFD","3600 Shady Lake Dr","2913","$474,000","5","3","1","WestWashn","THE LAKES AT SHADY NOOK","1","2LEVL","ATTACH","3","2,862","Yes","4,110","5","KWIN01"
"1001","21692694","S","SFD","1461 W 151st St","2913","$479,000","4","3","1","WestWashn","HARMONY","1","2LEVL","ATTACH","3","2,505","Yes","4,106","102","KWIN01"
"1001","21716265","S","SFD","742 Richland Way","2913","$485,000","4","3","2","WestWashn","MERRIMAC","1","3LEVL","ATTACH","3","4,214","Yes","6,132","3","TUCK10"
